市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2460,1324,2058,402,1096,1364,53.82%,1681,930,55.32%,1543,1671,789,62.72%,1137,67.64%
弱势延续高,224,129,221,3,128,96,57.59%,117,67,57.26%,129,221,3,57.59%,67,57.26%
恐慌释放高+弱势延续高,223,185,212,11,188,35,82.96%,147,126,85.71%,185,212,11,82.96%,126,85.71%
过热回落高,224,135,186,38,125,99,60.27%,135,91,67.41%,135,186,38,60.27%,91,67.41%
