锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-09-01,震荡,常规环境,216,116,188,28,102,114,53.70%,143,73,51.05%,116,188,28,53.70%,73,51.05%
2025-09-02,震荡,恐慌释放高,216,107,206,10,103,113,49.54%,142,72,50.70%,107,206,10,49.54%,72,50.70%
2025-09-03,普涨,常规环境,216,142,171,45,133,83,65.74%,136,88,64.71%,142,171,45,65.74%,88,64.71%
2025-09-04,强上涨,弱势延续高,216,180,214,2,178,38,83.33%,163,141,86.50%,180,214,2,83.33%,141,86.50%
2025-09-05,普涨,常规环境,216,130,216,0,130,86,60.19%,128,75,58.59%,130,216,0,60.19%,75,58.59%
2025-09-08,普跌,常规环境,216,77,206,10,79,137,35.65%,139,52,37.41%,77,206,10,35.65%,52,37.41%
2025-09-09,普涨,常规环境,216,120,184,32,120,96,55.56%,136,79,58.09%,120,184,32,55.56%,79,58.09%
2025-09-10,普涨,常规环境,216,100,45,171,135,81,46.30%,133,55,41.35%,100,45,171,46.30%,55,41.35%
2025-09-11,普跌,过热回落高,216,73,180,36,71,145,33.80%,139,53,38.13%,73,180,36,33.80%,53,38.13%
2025-09-12,普跌,常规环境,216,80,193,23,81,135,37.04%,158,61,38.61%,80,193,23,37.04%,61,38.61%
2025-09-15,普跌,常规环境,216,85,214,2,83,133,39.35%,146,59,40.41%,85,214,2,39.35%,59,40.41%
2025-09-16,强下跌,常规环境,216,84,162,54,56,160,38.89%,168,65,38.69%,84,162,54,38.89%,65,38.69%
2025-09-17,普跌,常规环境,215,79,193,22,71,144,36.74%,153,56,36.60%,79,193,22,36.74%,56,36.60%
2025-09-18,普跌,恐慌释放高,215,91,206,9,90,125,42.33%,138,58,42.03%,91,206,9,42.33%,58,42.03%
2025-09-19,普跌,常规环境,215,82,199,16,80,135,38.14%,139,50,35.97%,82,199,16,38.14%,50,35.97%
2025-09-22,普跌,常规环境,215,93,203,12,89,126,43.26%,135,60,44.44%,93,203,12,43.26%,60,44.44%
2025-09-23,震荡,恐慌释放高,215,118,212,3,117,98,54.88%,130,79,60.77%,118,212,3,54.88%,79,60.77%
2025-09-24,震荡,常规环境,215,102,213,2,102,113,47.44%,141,73,51.77%,102,213,2,47.44%,73,51.77%
2025-09-25,震荡,常规环境,215,120,198,17,113,102,55.81%,146,81,55.48%,120,198,17,55.81%,81,55.48%
2025-09-26,震荡,常规环境,215,110,209,6,106,109,51.16%,151,82,54.30%,110,209,6,51.16%,82,54.30%
2025-09-29,普跌,常规环境,215,96,209,6,92,123,44.65%,164,68,41.46%,96,209,6,44.65%,68,41.46%
2025-09-30,震荡,常规环境,216,115,160,56,99,117,53.24%,150,78,52.00%,115,160,56,53.24%,78,52.00%
