锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-04-01,震荡,常规环境,227,0,227,137,187,40,121,106,100.00%,60.35%
2026-04-02,强上涨,恐慌释放高,227,0,227,150,161,66,174,53,100.00%,66.08%
2026-04-03,强上涨,弱势延续高,227,0,227,175,206,21,184,43,100.00%,77.09%
2026-04-07,强上涨,常规环境,227,0,227,187,223,4,189,38,100.00%,82.38%
2026-04-08,震荡,过热回落高,227,0,227,124,159,68,124,103,100.00%,54.63%
2026-04-09,强上涨,常规环境,227,0,227,160,182,45,183,44,100.00%,70.48%
2026-04-10,强上涨,过热回落高,227,0,227,144,166,61,165,62,100.00%,63.44%
2026-04-13,强上涨,常规环境,227,0,227,59,16,211,182,45,100.00%,25.99%
2026-04-14,普涨,过热回落高,227,0,227,158,162,65,155,72,100.00%,69.60%
2026-04-15,强上涨,常规环境,227,0,227,170,189,38,166,61,100.00%,74.89%
2026-04-16,震荡,过热回落高,228,0,228,128,182,46,110,118,100.00%,56.14%
2026-04-17,普跌,常规环境,228,0,228,139,3,225,92,136,100.00%,60.96%
2026-04-20,普跌,常规环境,228,0,228,143,90,138,89,139,100.00%,62.72%
2026-04-21,普跌,常规环境,228,0,228,142,35,193,79,149,100.00%,62.28%
2026-04-22,普跌,常规环境,227,0,227,144,3,224,84,143,100.00%,63.44%
2026-04-23,震荡,恐慌释放高,226,0,226,128,183,43,107,119,100.00%,56.64%
2026-04-24,普涨,常规环境,228,0,228,153,211,17,146,82,100.00%,67.11%
2026-04-27,普涨,常规环境,228,0,228,164,223,5,159,69,100.00%,71.93%
2026-04-28,强上涨,恐慌释放高,227,0,227,186,227,0,186,41,100.00%,81.94%
2026-04-29,强上涨,常规环境,228,0,228,181,222,6,179,49,100.00%,79.39%
2026-04-30,普涨,常规环境,228,0,228,153,193,35,158,70,100.00%,67.11%
