锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-10-09,普跌,常规环境,216,0,216,73,156,60,69,147,100.00%,33.80%
2025-10-10,强下跌,常规环境,216,0,216,49,201,15,44,172,100.00%,22.69%
2025-10-13,强下跌,常规环境,216,0,216,151,39,177,60,156,100.00%,69.91%
2025-10-14,震荡,恐慌释放高,216,0,216,107,209,7,108,108,100.00%,49.54%
2025-10-15,强下跌,常规环境,216,0,216,66,208,8,60,156,100.00%,30.56%
2025-10-16,普跌,弱势延续高,216,0,216,79,213,3,78,138,100.00%,36.57%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,0,216,46,0,216,170,46,100.00%,21.30%
2025-10-20,强上涨,弱势延续高,215,0,215,170,213,2,168,47,100.00%,79.07%
2025-10-21,普涨,常规环境,215,0,215,137,213,2,137,78,100.00%,63.72%
2025-10-22,强上涨,常规环境,215,0,215,164,214,1,163,52,100.00%,76.28%
2025-10-23,普涨,常规环境,215,0,215,131,215,0,131,84,100.00%,60.93%
2025-10-24,普涨,过热回落高,215,0,215,114,182,33,127,88,100.00%,53.02%
2025-10-27,震荡,过热回落高,215,0,215,109,183,32,117,98,100.00%,50.70%
2025-10-28,震荡,常规环境,215,0,215,118,0,215,97,118,100.00%,54.88%
2025-10-29,普跌,常规环境,215,0,215,98,131,84,78,137,100.00%,45.58%
2025-10-30,震荡,恐慌释放高,215,0,215,100,0,215,115,100,100.00%,46.51%
2025-10-31,普跌,常规环境,215,0,215,99,197,18,87,128,100.00%,46.05%
