锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-08-01,强上涨,常规环境,212,212,0,0,0,0,0,0,0.00%,
2025-08-04,强上涨,过热回落高,212,131,81,73,81,0,73,8,38.21%,90.12%
2025-08-05,普涨,过热回落高,212,212,0,0,0,0,0,0,0.00%,
2025-08-06,普涨,过热回落高,212,206,6,2,6,0,2,4,2.83%,33.33%
2025-08-07,震荡,常规环境,212,212,0,0,0,0,0,0,0.00%,
2025-08-08,普涨,常规环境,213,213,0,0,0,0,0,0,0.00%,
2025-08-11,普涨,过热回落高,213,165,48,33,48,0,33,15,22.54%,68.75%
2025-08-12,强上涨,常规环境,213,213,0,0,0,0,0,0,0.00%,
2025-08-13,强上涨,常规环境,213,213,0,0,0,0,0,0,0.00%,
2025-08-14,强上涨,恐慌释放高,214,214,0,0,0,0,0,0,0.00%,
2025-08-15,强上涨,过热回落高,214,206,8,8,8,0,8,0,3.74%,100.00%
2025-08-18,强上涨,过热回落高,214,203,11,9,11,0,9,2,5.14%,81.82%
2025-08-19,强上涨,常规环境,214,214,0,0,0,0,0,0,0.00%,
2025-08-20,普跌,过热回落高,215,215,0,0,0,0,0,0,0.00%,
2025-08-21,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-08-22,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-08-25,震荡,过热回落高,215,215,0,0,0,0,0,0,0.00%,
2025-08-26,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-08-27,普跌,恐慌释放高,215,215,0,0,0,0,0,0,0.00%,
2025-08-28,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-08-29,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
