市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,3665,1700,3222,443,1671,1994,46.38%,2466,1134,45.99%,1698,3224,441,46.33%,1133,45.94%
弱势延续高,216,179,213,3,178,38,82.87%,163,141,86.50%,179,213,3,82.87%,141,86.50%
恐慌释放高,646,314,638,8,310,336,48.61%,410,207,50.49%,314,638,8,48.61%,207,50.49%
过热回落高,216,85,172,44,71,145,39.35%,139,57,41.01%,85,172,44,39.35%,57,41.01%
