锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-04-01,震荡,常规环境,227,0,227,147,115,112,121,106,100.00%,64.76%
2026-04-02,强上涨,恐慌释放高,227,0,227,178,217,10,174,53,100.00%,78.41%
2026-04-03,强上涨,弱势延续高,227,0,227,185,226,1,184,43,100.00%,81.50%
2026-04-07,强上涨,常规环境,227,0,227,188,226,1,189,38,100.00%,82.82%
2026-04-08,震荡,过热回落高,227,0,227,131,206,21,124,103,100.00%,57.71%
2026-04-09,强上涨,常规环境,227,0,227,128,112,115,183,44,100.00%,56.39%
2026-04-10,强上涨,过热回落高,227,0,227,164,202,25,165,62,100.00%,72.25%
2026-04-13,强上涨,常规环境,227,0,227,162,169,58,182,45,100.00%,71.37%
2026-04-14,普涨,过热回落高,227,0,227,155,217,10,155,72,100.00%,68.28%
2026-04-15,强上涨,常规环境,227,0,227,167,220,7,166,61,100.00%,73.57%
2026-04-16,震荡,过热回落高,228,0,228,126,150,78,110,118,100.00%,55.26%
2026-04-17,普跌,常规环境,228,0,228,139,3,225,92,136,100.00%,60.96%
2026-04-20,普跌,常规环境,228,0,228,158,79,149,89,139,100.00%,69.30%
2026-04-21,普跌,常规环境,228,0,228,150,65,163,79,149,100.00%,65.79%
2026-04-22,普跌,常规环境,227,0,227,144,1,226,84,143,100.00%,63.44%
2026-04-23,震荡,恐慌释放高,226,0,226,137,122,104,107,119,100.00%,60.62%
2026-04-24,普涨,常规环境,228,0,228,153,175,53,146,82,100.00%,67.11%
2026-04-27,普涨,常规环境,228,0,228,163,198,30,159,69,100.00%,71.49%
2026-04-28,强上涨,恐慌释放高,227,0,227,185,222,5,186,41,100.00%,81.50%
2026-04-29,强上涨,常规环境,228,0,228,180,223,5,179,49,100.00%,78.95%
2026-04-30,普涨,常规环境,228,0,228,162,190,38,158,70,100.00%,71.05%
