锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,188,219,4,188,35,84.30%,147,128,87.07%,188,219,4,84.30%,128,87.07%
2026-02-03,普涨,弱势延续高,224,128,224,0,128,96,57.14%,117,67,57.26%,128,224,0,57.14%,67,57.26%
2026-02-04,普涨,常规环境,224,127,224,0,127,97,56.70%,94,50,53.19%,127,224,0,56.70%,50,53.19%
2026-02-05,普涨,常规环境,224,143,221,3,142,82,63.84%,137,98,71.53%,143,221,3,63.84%,98,71.53%
2026-02-06,震荡,常规环境,224,121,218,6,117,107,54.02%,124,74,59.68%,121,218,6,54.02%,74,59.68%
2026-02-09,普涨,过热回落高,224,124,219,5,125,99,55.36%,135,77,57.04%,124,219,5,55.36%,77,57.04%
2026-02-10,普涨,常规环境,224,137,223,1,138,86,61.16%,132,83,62.88%,137,223,1,61.16%,83,62.88%
2026-02-11,普涨,常规环境,224,137,223,1,136,88,61.16%,134,97,72.39%,137,223,1,61.16%,97,72.39%
2026-02-12,普涨,常规环境,224,148,218,6,148,76,66.07%,136,96,70.59%,148,218,6,66.07%,96,70.59%
2026-02-13,震荡,常规环境,224,104,222,2,102,122,46.43%,167,83,49.70%,104,222,2,46.43%,83,49.70%
2026-02-24,强下跌,常规环境,223,61,195,28,51,172,27.35%,185,44,23.78%,172,0,223,77.13%,150,81.08%
2026-02-25,强下跌,常规环境,223,88,152,71,41,182,39.46%,195,73,37.44%,182,0,223,81.61%,165,84.62%
2026-02-26,强下跌,常规环境,223,175,3,220,47,176,78.48%,193,162,83.94%,175,3,220,78.48%,162,83.94%
2026-02-27,强下跌,常规环境,223,158,50,173,47,176,70.85%,184,132,71.74%,158,50,173,70.85%,132,71.74%
