市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2500,1470,2104,396,1442,1058,58.80%,1845,1134,61.46%,1824,1584,916,72.96%,1468,79.57%
弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,139,175,51,61.50%,94,63.95%
恐慌释放高,227,77,44,183,186,41,33.92%,195,60,30.77%,184,223,4,81.06%,169,86.67%
恐慌释放高+弱势延续高,226,39,226,0,39,187,17.26%,197,25,12.69%,187,0,226,82.74%,172,87.31%
过热回落高,455,200,398,57,191,264,43.96%,378,159,42.06%,352,198,257,77.36%,312,82.54%
