特征,入选次数,平均相关性绝对值,平均方向一致率
沪深300_5日涨跌幅_均值_近3日标准差,16,0.33548794588747277,1.0
沪深300_5日涨跌幅_均值_近5日标准差,16,0.28885684610003437,1.0
当日涨跌幅极差,16,0.27680870909655036,1.0
当日平均换手率_近5日标准差,16,0.259245830189767,1.0
当日平均成交额_近10日均值,16,0.24440986966650027,1.0
中证1000_5日涨跌幅_均值_近3日标准差,16,0.2216911884985815,1.0
当日平均成交量_近10日均值,16,0.21131445743082067,1.0
中证500_5日涨跌幅_均值_近3日标准差,16,0.2059492008439978,1.0
小盘强于中盘_5日_近10日标准差,16,0.2046182483180686,1.0
小盘强于中盘_5日_近5日标准差,16,0.20332526749934968,1.0
当日平均成交额,16,0.18793445190506514,1.0
当日接近跌停比例,16,0.1858472697007179,1.0
小盘强于中盘_5日_近10日均值,16,0.17744960372367372,1.0
中证1000强于沪深300_5日_近3日斜率,16,0.1663721554810323,1.0
当日平均换手率_近3日标准差,16,0.16543427394185303,1.0
当日平均成交额_近5日均值,16,0.16414467523736145,1.0
当日强涨比例_5pct,16,0.15553911430898046,1.0
当日强涨比例_5pct_近3日均值,16,0.14853815641287718,1.0
中证500强于沪深300_5日_近3日斜率,16,0.14276327636026773,1.0
中证1000强于沪深300_5日_近5日变化,16,0.13734125394173324,1.0
小盘强于中盘_5日_近3日标准差,16,0.136724439705243,1.0
个股强于沪深300_5日相对强弱_均值,16,0.11782077498515248,1.0
中证1000_5日涨跌幅_均值_近3日斜率,16,0.11513525868858272,1.0
当日大涨比例_3pct,16,0.10604420321609612,1.0
沪深300_1日涨跌幅_均值,16,0.10467342657671061,1.0
行业涨跌分化度_近5日均值,16,0.1021334896400547,1.0
中证1000_5日涨跌幅_均值_近5日变化,16,0.10020220060289203,1.0
中证500_5日涨跌幅_均值_近3日斜率,16,0.09895476653812893,1.0
中证500强于沪深300_5日_近5日变化,16,0.09387260212635934,1.0
当日涨跌幅标准差_近5日变化,16,0.07186363333259858,1.0
中证500_5日涨跌幅_均值_近5日变化,16,0.06546662879269134,1.0
ret_1_均值,16,0.05208944653711823,1.0
当日平均成交额_近3日均值,15,0.1670813241928545,1.0
小盘强于中盘_5日,15,0.1568129444283905,1.0
当日平均换手率_近10日均值,15,0.15072322672916347,1.0
当日平均成交量,15,0.13382936790883024,1.0
极端涨跌差_近3日均值,15,0.1324628461345379,1.0
小盘强于中盘_5日_近3日斜率,15,0.12375218712773649,1.0
当日大涨比例_3pct_近3日均值,15,0.10897150634821351,1.0
行业涨跌分化度_近3日均值,15,0.10466890426775115,1.0
小盘强于中盘_5日_近5日变化,15,0.0961105385175788,1.0
当日平均成交量_近5日标准差,15,0.09459516136318324,1.0
沪深300_5日涨跌幅_均值_近3日斜率,15,0.08643617613334484,1.0
行业涨跌分化度,15,0.07900516148957508,1.0
当日涨跌幅标准差_近3日标准差,15,0.06285799314359959,1.0
当日涨跌幅标准差_近5日均值,15,0.05529305406522551,1.0
中证500_5日涨跌幅_均值_近5日标准差,14,0.20250575559853154,1.0
当日上涨比例_近5日最高,14,0.15925374825276092,1.0
弱势延续风险特征,14,0.1385623895851855,1.0
中证1000强于沪深300_5日_近10日标准差,14,0.12795051694941773,1.0
上证指数_1日涨跌幅_均值,14,0.08832094966035571,1.0
行业强涨比例_1pct_近3日均值,14,0.07869074663948517,1.0
当日大涨比例_3pct_近3日标准差,14,0.07602408597221426,1.0
行业涨跌分化度_近3日标准差,14,0.07305926819103768,1.0
涨跌扩散差,14,0.059155000536089054,1.0
