锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-12-01,普跌,过热回落高,217,96,212,5,93,124,44.24%,110,55,50.00%,96,212,5,44.24%,55,50.00%
2025-12-02,震荡,常规环境,218,111,216,2,109,109,50.92%,121,60,49.59%,111,216,2,50.92%,60,49.59%
2025-12-03,普涨,常规环境,218,136,155,63,121,97,62.39%,120,81,67.50%,136,155,63,62.39%,81,67.50%
2025-12-04,震荡,常规环境,218,112,187,31,111,107,51.38%,128,73,57.03%,112,187,31,51.38%,73,57.03%
2025-12-05,普跌,常规环境,218,102,206,12,98,120,46.79%,128,60,46.88%,102,206,12,46.79%,60,46.88%
2025-12-08,普跌,常规环境,218,78,198,20,72,146,35.78%,145,46,31.72%,78,198,20,35.78%,46,31.72%
2025-12-09,普跌,恐慌释放高,218,87,143,75,80,138,39.91%,160,55,34.38%,87,143,75,39.91%,55,34.38%
2025-12-10,普跌,常规环境,218,91,209,9,88,130,41.74%,157,65,41.40%,91,209,9,41.74%,65,41.40%
2025-12-11,普跌,恐慌释放高,218,96,175,43,89,129,44.04%,131,56,42.75%,96,175,43,44.04%,56,42.75%
2025-12-12,普跌,常规环境,218,102,206,12,96,122,46.79%,128,62,48.44%,102,206,12,46.79%,62,48.44%
2025-12-15,普涨,常规环境,218,148,207,11,143,75,67.89%,108,87,80.56%,148,207,11,67.89%,87,80.56%
2025-12-16,强上涨,弱势延续高,218,70,18,200,158,60,32.11%,130,34,26.15%,70,18,200,32.11%,34,26.15%
2025-12-17,强上涨,常规环境,218,162,218,0,162,56,74.31%,130,105,80.77%,162,218,0,74.31%,105,80.77%
2025-12-18,强上涨,常规环境,219,184,217,2,184,35,84.02%,144,132,91.67%,184,217,2,84.02%,132,91.67%
2025-12-19,普涨,常规环境,219,158,202,17,149,70,72.15%,129,105,81.40%,158,202,17,72.15%,105,81.40%
2025-12-22,普涨,常规环境,219,118,189,30,124,95,53.88%,119,74,62.18%,118,189,30,53.88%,74,62.18%
2025-12-23,普涨,常规环境,219,87,13,206,141,78,39.73%,128,42,32.81%,87,13,206,39.73%,42,32.81%
2025-12-24,震荡,过热回落高,219,114,198,21,107,112,52.05%,112,63,56.25%,114,198,21,52.05%,63,56.25%
2025-12-25,普涨,过热回落高,220,132,196,24,140,80,60.00%,111,79,71.17%,132,196,24,60.00%,79,71.17%
2025-12-26,强上涨,常规环境,220,55,8,212,171,49,25.00%,148,33,22.30%,55,8,212,25.00%,33,22.30%
2025-12-29,强上涨,常规环境,220,169,202,18,173,47,76.82%,150,129,86.00%,169,202,18,76.82%,129,86.00%
2025-12-30,强上涨,常规环境,220,45,0,220,175,45,20.45%,150,16,10.67%,45,0,220,20.45%,16,10.67%
2025-12-31,强上涨,常规环境,220,183,194,26,193,27,83.18%,178,151,84.83%,183,194,26,83.18%,151,84.83%
