市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2958,1877,2190,768,1827,1131,63.46%,2129,1427,67.03%,1932,1777,1181,65.31%,1478,69.42%
弱势延续高,227,175,206,21,184,43,77.09%,186,154,82.80%,175,206,21,77.09%,154,82.80%
恐慌释放高,680,465,562,118,467,213,68.38%,528,383,72.54%,464,571,109,68.24%,382,72.35%
过热回落高,909,554,669,240,554,355,60.95%,580,392,67.59%,554,669,240,60.95%,392,67.59%
