锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-11-03,震荡,常规环境,216,118,193,23,109,107,54.63%,153,86,56.21%,118,193,23,54.63%,86,56.21%
2025-11-04,普涨,常规环境,216,127,199,17,122,94,58.80%,144,93,64.58%,127,199,17,58.80%,93,64.58%
2025-11-05,普跌,常规环境,216,97,212,4,93,123,44.91%,146,72,49.32%,97,212,4,44.91%,72,49.32%
2025-11-06,震荡,过热回落高,216,100,202,14,104,112,46.30%,153,77,50.33%,100,202,14,46.30%,77,50.33%
2025-11-07,震荡,常规环境,217,93,191,26,99,118,42.86%,129,52,40.31%,93,191,26,42.86%,52,40.31%
2025-11-10,普跌,常规环境,217,91,188,29,80,137,41.94%,134,55,41.04%,91,188,29,41.94%,55,41.04%
2025-11-11,强下跌,常规环境,217,158,2,215,61,156,72.81%,147,107,72.79%,158,2,215,72.81%,107,72.79%
2025-11-12,强下跌,常规环境,217,69,197,20,57,160,31.80%,151,45,29.80%,69,197,20,31.80%,45,29.80%
2025-11-13,强下跌,常规环境,217,53,197,20,41,176,24.42%,178,35,19.66%,53,197,20,24.42%,35,19.66%
2025-11-14,强下跌,常规环境,217,45,184,33,22,195,20.74%,199,40,20.10%,45,184,33,20.74%,40,20.10%
2025-11-17,强下跌,常规环境,217,27,212,5,22,195,12.44%,186,20,10.75%,27,212,5,12.44%,20,10.75%
2025-11-18,强下跌,常规环境,217,48,215,2,46,171,22.12%,155,23,14.84%,48,215,2,22.12%,23,14.84%
2025-11-19,强下跌,常规环境,218,56,212,6,50,168,25.69%,153,35,22.88%,56,212,6,25.69%,35,22.88%
2025-11-20,强下跌,弱势延续高,217,66,215,2,64,153,30.41%,131,39,29.77%,66,215,2,30.41%,39,29.77%
2025-11-21,强上涨,恐慌释放高+弱势延续高,217,176,217,0,176,41,81.11%,132,119,90.15%,176,217,0,81.11%,119,90.15%
2025-11-24,强上涨,弱势延续高,217,182,217,0,182,35,83.87%,153,135,88.24%,182,217,0,83.87%,135,88.24%
2025-11-25,普涨,弱势延续高,217,123,217,0,123,94,56.68%,97,58,59.79%,123,217,0,56.68%,58,59.79%
2025-11-26,震荡,常规环境,217,116,216,1,115,102,53.46%,110,65,59.09%,116,216,1,53.46%,65,59.09%
2025-11-27,震荡,常规环境,217,106,207,10,104,113,48.85%,117,55,47.01%,106,207,10,48.85%,55,47.01%
2025-11-28,震荡,过热回落高,217,114,216,1,113,104,52.53%,119,63,52.94%,114,216,1,52.53%,63,52.94%
