锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-02,强下跌,恐慌释放高,223,152,47,176,52,171,68.16%,175,122,69.71%,152,47,176,68.16%,122,69.71%
2026-03-03,普涨,恐慌释放高,223,162,209,14,154,69,72.65%,143,116,81.12%,162,209,14,72.65%,116,81.12%
2026-03-04,强上涨,弱势延续高,223,173,208,15,166,57,77.58%,148,123,83.11%,173,208,15,77.58%,123,83.11%
2026-03-05,普涨,弱势延续高,224,121,219,5,124,100,54.02%,138,79,57.25%,121,219,5,54.02%,79,57.25%
2026-03-06,普跌,弱势延续高,224,78,219,5,79,145,34.82%,145,54,37.24%,145,0,224,64.73%,91,62.76%
2026-03-09,震荡,弱势延续高,225,120,204,21,107,118,53.33%,142,81,57.04%,131,91,134,58.22%,84,59.15%
2026-03-10,强下跌,过热回落高,225,68,199,26,48,177,30.22%,173,45,26.01%,177,0,225,78.67%,145,83.82%
2026-03-11,强下跌,常规环境,225,146,59,166,52,173,64.89%,166,113,68.07%,146,59,166,64.89%,113,68.07%
2026-03-12,强下跌,恐慌释放高,225,62,192,33,37,188,27.56%,182,45,24.73%,188,0,225,83.56%,161,88.46%
2026-03-13,强下跌,常规环境,225,29,219,6,25,200,12.89%,191,21,10.99%,200,0,225,88.89%,174,91.10%
2026-03-16,强下跌,常规环境,225,30,211,14,16,209,13.33%,218,24,11.01%,209,0,225,92.89%,207,94.95%
2026-03-17,强下跌,弱势延续高,225,36,212,13,25,200,16.00%,208,30,14.42%,200,0,225,88.89%,189,90.87%
2026-03-18,强下跌,弱势延续高,226,33,217,9,26,200,14.60%,202,28,13.86%,200,0,226,88.50%,182,90.10%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,49,214,12,39,187,21.68%,197,35,17.77%,187,0,226,82.74%,172,87.31%
2026-03-20,普跌,弱势延续高,226,84,221,5,81,145,37.17%,156,51,32.69%,145,0,226,64.16%,107,68.59%
2026-03-23,强上涨,恐慌释放高+弱势延续高,226,186,219,7,185,41,82.30%,164,143,87.20%,186,219,7,82.30%,143,87.20%
2026-03-24,震荡,弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,134,150,76,59.29%,91,61.90%
2026-03-25,震荡,弱势延续高,226,118,225,1,117,109,52.21%,129,69,53.49%,138,129,97,61.06%,84,65.12%
2026-03-26,震荡,弱势延续高,226,123,221,5,118,108,54.42%,123,71,57.72%,120,98,128,53.10%,65,52.85%
2026-03-27,强下跌,常规环境,226,64,226,0,64,162,28.32%,161,38,23.60%,162,0,226,71.68%,123,76.40%
2026-03-30,普跌,常规环境,226,92,192,34,72,154,40.71%,141,55,39.01%,154,0,226,68.14%,104,73.76%
2026-03-31,强上涨,常规环境,227,173,205,22,185,42,76.21%,160,134,83.75%,185,227,0,81.50%,141,88.12%
