锚点年份,日期数,股票预测数,噪声样本数,发生修正数,原始正确数,修正后正确数,修正净增正确数,原始错判为上涨数,修正后错判为上涨数,原始错判为下跌数,修正后错判为下跌数,平均预测上涨概率,平均实际5日涨跌幅,降噪后股票预测数,降噪后发生修正数,降噪后原始正确数,降噪后修正后正确数,降噪后修正净增正确数,原始准确率,修正后准确率,准确率变化百分点,降噪后原始准确率,降噪后修正后准确率,降噪后准确率变化百分点,修正覆盖率,降噪后修正覆盖率
2025,10,2143,754,1076,1037,1395,358,861,418,245,330,48.78%,0.56%,1389,740,669,977,308,48.39%,65.10%,16.71,48.16%,70.34%,22.17,50.21%,53.28%
2026,24,5884,1539,2006,3113,4319,1206,2265,1055,506,510,48.54%,1.14%,4345,1659,2308,3457,1149,52.91%,73.40%,20.5,53.12%,79.56%,26.44,34.09%,38.18%
