锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-02,强下跌,恐慌释放高,223,149,40,183,52,171,66.82%,175,120,68.57%,149,40,183,66.82%,120,68.57%
2026-03-03,普涨,恐慌释放高,223,162,207,16,154,69,72.65%,143,116,81.12%,162,207,16,72.65%,116,81.12%
2026-03-04,强上涨,弱势延续高,223,173,210,13,166,57,77.58%,148,123,83.11%,173,210,13,77.58%,123,83.11%
2026-03-05,普涨,弱势延续高,224,122,220,4,124,100,54.46%,138,79,57.25%,122,220,4,54.46%,79,57.25%
2026-03-06,普跌,弱势延续高,224,77,220,4,79,145,34.38%,145,53,36.55%,145,0,224,64.73%,91,62.76%
2026-03-09,震荡,弱势延续高,225,121,201,24,107,118,53.78%,142,82,57.75%,127,101,124,56.44%,84,59.15%
2026-03-10,强下跌,过热回落高,225,72,193,32,48,177,32.00%,173,48,27.75%,177,0,225,78.67%,145,83.82%
2026-03-11,强下跌,常规环境,225,142,59,166,52,173,63.11%,166,108,65.06%,142,59,166,63.11%,108,65.06%
2026-03-12,强下跌,恐慌释放高,225,56,194,31,37,188,24.89%,182,38,20.88%,188,0,225,83.56%,161,88.46%
2026-03-13,强下跌,常规环境,225,31,217,8,25,200,13.78%,191,23,12.04%,200,0,225,88.89%,174,91.10%
2026-03-16,强下跌,常规环境,225,29,212,13,16,209,12.89%,218,23,10.55%,209,0,225,92.89%,207,94.95%
2026-03-17,强下跌,弱势延续高,225,38,212,13,25,200,16.89%,208,32,15.38%,200,0,225,88.89%,189,90.87%
2026-03-18,强下跌,弱势延续高,226,30,220,6,26,200,13.27%,202,25,12.38%,200,0,226,88.50%,182,90.10%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,46,217,9,39,187,20.35%,197,32,16.24%,187,0,226,82.74%,172,87.31%
2026-03-20,普跌,弱势延续高,226,83,224,2,81,145,36.73%,156,51,32.69%,145,0,226,64.16%,107,68.59%
2026-03-23,强上涨,恐慌释放高+弱势延续高,226,187,224,2,185,41,82.74%,164,143,87.20%,187,224,2,82.74%,143,87.20%
2026-03-24,震荡,弱势延续高,226,123,225,1,122,104,54.42%,147,79,53.74%,135,169,57,59.73%,93,63.27%
2026-03-25,震荡,弱势延续高,226,121,222,4,117,109,53.54%,129,71,55.04%,144,129,97,63.72%,86,66.67%
2026-03-26,震荡,弱势延续高,226,122,220,6,118,108,53.98%,123,72,58.54%,126,86,140,55.75%,67,54.47%
2026-03-27,强下跌,常规环境,226,66,224,2,64,162,29.20%,161,39,24.22%,162,0,226,71.68%,123,76.40%
2026-03-30,普跌,常规环境,226,105,159,67,72,154,46.46%,141,62,43.97%,154,0,226,68.14%,104,73.76%
2026-03-31,强上涨,常规环境,227,161,187,40,185,42,70.93%,160,126,78.75%,185,227,0,81.50%,141,88.12%
