实际市场状态,日期数,股票预测数,原始正确数,修正后正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,噪声样本数,平均未来5日上涨比例,平均预测上涨概率,降噪后股票预测数,降噪后原始正确数,降噪后修正正确数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,预测上涨占比,实际上涨占比
强上涨,5,1136,765,872,1079,57,885,251,251,77.90%,40.64%,885,626,735,67.34%,76.76%,70.73%,83.05%,94.98%,77.90%
强下跌,4,905,181,748,16,889,145,760,113,16.02%,60.14%,792,129,686,20.00%,82.65%,16.29%,86.62%,1.77%,16.02%
普涨,4,912,609,626,736,176,618,294,267,67.76%,37.90%,645,465,480,66.78%,68.64%,72.09%,74.42%,80.70%,67.76%
普跌,1,228,99,160,69,159,89,139,64,39.04%,46.59%,164,72,124,43.42%,70.18%,43.90%,75.61%,30.26%,39.04%
震荡,2,453,254,271,291,162,243,210,177,53.64%,47.68%,276,164,180,56.07%,59.82%,59.42%,65.22%,64.24%,53.64%
