锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,0,223,186,217,6,188,35,100.00%,83.41%
2026-02-03,普涨,弱势延续高,224,0,224,130,222,2,128,96,100.00%,58.04%
2026-02-04,普涨,常规环境,224,0,224,128,223,1,127,97,100.00%,57.14%
2026-02-05,普涨,常规环境,224,0,224,153,211,13,142,82,100.00%,68.30%
2026-02-06,震荡,常规环境,224,0,224,125,214,10,117,107,100.00%,55.80%
2026-02-09,普涨,过热回落高,224,0,224,127,222,2,125,99,100.00%,56.70%
2026-02-10,普涨,常规环境,224,0,224,145,211,13,138,86,100.00%,64.73%
2026-02-11,普涨,常规环境,224,0,224,142,216,8,136,88,100.00%,63.39%
2026-02-12,普涨,常规环境,224,0,224,149,217,7,148,76,100.00%,66.52%
2026-02-13,震荡,常规环境,224,0,224,105,221,3,102,122,100.00%,46.88%
2026-02-24,强下跌,常规环境,223,0,223,172,0,223,51,172,100.00%,77.13%
2026-02-25,强下跌,常规环境,223,0,223,182,0,223,41,182,100.00%,81.61%
2026-02-26,强下跌,常规环境,223,0,223,175,9,214,47,176,100.00%,78.48%
2026-02-27,强下跌,常规环境,223,0,223,156,60,163,47,176,100.00%,69.96%
