锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,186,219,4,188,35,83.41%,147,127,86.39%,186,219,4,83.41%,127,86.39%
2026-02-09,普涨,过热回落高,224,125,224,0,125,99,55.80%,135,78,57.78%,125,224,0,55.80%,78,57.78%
2026-02-24,强下跌,常规环境,223,80,180,43,51,172,35.87%,185,64,34.59%,177,29,194,79.37%,155,83.78%
2026-03-03,普涨,恐慌释放高,223,157,218,5,154,69,70.40%,143,111,77.62%,157,218,5,70.40%,111,77.62%
2026-03-10,强下跌,过热回落高,225,109,130,95,48,177,48.44%,173,86,49.71%,176,1,224,78.22%,144,83.24%
2026-03-17,强下跌,弱势延续高,225,29,221,4,25,200,12.89%,208,23,11.06%,200,0,225,88.89%,189,90.87%
2026-03-24,震荡,弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,139,175,51,61.50%,94,63.95%
2026-03-31,强上涨,常规环境,227,100,82,145,185,42,44.05%,160,72,45.00%,185,227,0,81.50%,141,88.12%
2026-04-08,震荡,过热回落高,227,129,218,9,124,103,56.83%,125,83,66.40%,129,218,9,56.83%,83,66.40%
2026-04-15,强上涨,常规环境,227,168,211,16,166,61,74.01%,160,130,81.25%,168,211,16,74.01%,130,81.25%
