锚点日期,训练日期数,模型实际训练日期数,稳定特征数,稳定特征Top10,预测上涨概率,预测未来5日上涨比例,融合预测上涨比例,预测市场方向,预测市场状态,实际未来5日上涨比例,实际市场方向,实际市场状态,市场方向预测是否准确
2025-07-01,47,47,30,行业强跌比例_1pct_近10日均值|极端涨跌差_近10日均值|range_pos_20_均值|当日平均涨跌幅_近10日最低|下跌行业比例_近10日均值|上涨行业比例_近10日均值|当日平均涨跌幅_近10日均值|涨跌扩散差_近10日均值|当日大跌比例_3pct_近10日均值|当日平均换手率_近3日均值,0.11%,19.85%,10.97%,下跌,强下跌,44.08%,下跌,普跌,1
2025-07-15,57,57,30,极端涨跌差_近10日均值|行业强跌比例_1pct_近10日均值|下跌行业比例_近10日均值|上涨行业比例_近10日均值|当日大跌比例_3pct_近10日均值|当日平均涨跌幅_近10日均值|个股强于中证1000_5日相对强弱_均值|涨跌扩散差_近10日均值|range_pos_20_均值|行业强涨比例_1pct_近10日均值,80.68%,60.50%,69.58%,上涨,普涨,78.67%,上涨,强上涨,1
2025-07-29,63,53,30,极端涨跌差_近10日均值|个股强于中证1000_5日相对强弱_均值|下跌行业比例_近10日均值|行业强涨比例_1pct_近10日均值|上涨行业比例_近10日均值|当日平均涨跌幅_近10日均值|涨跌扩散差_近10日均值|ret_10_均值|当日平均换手率_近5日均值|极端涨跌差_近5日均值,20.90%,40.68%,31.78%,下跌,普跌,46.45%,下跌,震荡,1
2025-08-12,77,58,30,行业强涨比例_1pct_近10日均值|下跌行业比例_近10日均值|ret_10_均值|上涨行业比例_近10日均值|极端涨跌差_近10日均值|当日上涨比例_近10日均值|涨跌扩散差_近10日均值|当日平均涨跌幅_近10日均值|当日平均换手率_近5日均值|当日大涨比例_3pct_近10日均值,47.44%,54.35%,51.24%,上涨,震荡,74.18%,上涨,强上涨,1
2025-08-26,87,66,30,下跌行业比例_近10日均值|个股强于中证1000_5日相对强弱_均值|上涨行业比例_近10日均值|ret_10_均值|行业强涨比例_1pct_近10日均值|行业强跌比例_1pct_近5日均值|极端涨跌差_近5日均值|当日上涨比例_近10日均值|极端涨跌差_近10日均值|行业强跌比例_1pct_近10日均值,10.45%,36.21%,24.62%,下跌,强下跌,31.16%,下跌,普跌,1
2025-09-09,97,66,30,下跌行业比例_近10日均值|极端涨跌差_近10日均值|上涨行业比例_近10日均值|ret_10_均值|行业强涨比例_1pct_近10日均值|涨跌扩散差_近10日均值|当日上涨比例_近10日均值|极端涨跌差_近5日均值|当日大涨比例_3pct_近10日均值|沪深300_5日涨跌幅_均值_近5日均值,58.48%,55.21%,56.68%,上涨,普涨,55.56%,上涨,普涨,1
2025-09-23,102,68,30,极端涨跌差_近10日均值|行业强涨比例_1pct_近10日均值|ret_10_均值|下跌行业比例_近10日均值|上涨行业比例_近10日均值|涨跌扩散差_近10日均值|当日大涨比例_3pct_近10日均值|极端涨跌差_近5日均值|当日上涨比例_近10日均值|沪深300_5日涨跌幅_均值_近5日均值,97.56%,84.70%,90.49%,上涨,强上涨,54.42%,上涨,震荡,1
2025-10-15,117,75,30,当日大涨比例_3pct_近10日均值|极端涨跌差_近10日均值|当日强涨比例_5pct_近10日均值|小盘强于中盘_5日|行业强涨比例_1pct_近10日均值|中证500_5日涨跌幅_均值_近5日均值|中证500_5日涨跌幅_均值_近3日均值|小盘强于中盘_5日_近3日均值|极端涨跌差_近5日均值|当日大涨比例_3pct_近5日均值,95.17%,85.14%,89.65%,上涨,强上涨,27.78%,下跌,强下跌,0
2025-11-12,132,75,30,当日大涨比例_3pct_近10日均值|沪深300_5日涨跌幅_均值_近5日均值|中证500_5日涨跌幅_均值_近3日均值|当日平均成交额_近3日均值|当日平均涨跌幅_近20日最高|当日大涨比例_3pct_近5日均值|中证500_5日涨跌幅_均值_近5日均值|中证1000强于沪深300_5日_近10日标准差|当日平均成交量_近3日均值|小盘强于中盘_5日_近3日均值,65.30%,62.26%,63.63%,上涨,普涨,26.27%,下跌,强下跌,0
2025-12-10,152,73,30,中证500_5日涨跌幅_均值_近3日均值|极端涨跌差_近5日均值|中证500_5日涨跌幅_均值_近5日均值|当日大涨比例_3pct_近10日均值|沪深300_5日涨跌幅_均值_近3日均值|极端涨跌差_近10日均值|当日平均涨跌幅_近20日最高|沪深300_5日涨跌幅_均值_近5日均值|当日平均成交额_近3日均值|中证500_5日涨跌幅_均值,72.92%,55.15%,63.15%,上涨,普涨,40.37%,下跌,普跌,0
