市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,3718,2041,2827,891,2310,1408,54.90%,2311,1321,57.16%,2041,2827,891,54.90%,1321,57.16%
弱势延续高,218,70,18,200,158,60,32.11%,130,34,26.15%,70,18,200,32.11%,34,26.15%
恐慌释放高,436,183,318,118,169,267,41.97%,291,111,38.14%,183,318,118,41.97%,111,38.14%
过热回落高,656,342,606,50,340,316,52.13%,333,197,59.16%,342,606,50,52.13%,197,59.16%
