市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2433,1457,2077,356,1401,1032,59.88%,1787,1114,62.34%,1791,1575,858,73.61%,1423,79.63%
弱势延续高,222,120,222,0,120,102,54.05%,143,76,53.15%,136,180,42,61.26%,92,64.34%
恐慌释放高,224,59,28,196,183,41,26.34%,192,42,21.88%,182,219,5,81.25%,167,86.98%
恐慌释放高+弱势延续高,223,38,223,0,38,185,17.04%,194,24,12.37%,185,0,223,82.96%,170,87.63%
过热回落高,439,207,395,44,187,252,47.15%,362,162,44.75%,345,205,234,78.59%,303,83.70%
