市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2154,1121,1525,629,926,1228,52.04%,1472,788,53.53%,1115,1531,623,51.76%,783,53.19%
弱势延续高,431,250,427,4,246,185,58.00%,290,178,61.38%,250,427,4,58.00%,178,61.38%
恐慌释放高,431,209,209,222,223,208,48.49%,268,124,46.27%,209,209,222,48.49%,124,46.27%
恐慌释放高+弱势延续高,216,172,214,2,170,46,79.63%,135,116,85.93%,172,214,2,79.63%,116,85.93%
过热回落高,430,231,345,85,244,186,53.72%,278,156,56.12%,231,345,85,53.72%,156,56.12%
