口径,股票数,实际上涨数,实际下跌数,原始预测上涨数,原始预测下跌数,修正后预测上涨数,修正后预测下跌数,原始正确数,修正后正确数,原始准确率,修正后准确率,修正提升百分点,实际下跌但原始预测上涨数,实际下跌但修正后预测上涨数
全部样本,228,69,159,206,22,1,227,83,158,36.40%,69.30%,32.89,141,1
剔除|5日涨跌幅|<=0.5%,217,63,154,196,21,1,216,78,153,35.94%,70.51%,34.56,136,1
剔除|5日涨跌幅|<=2%,176,49,127,155,21,0,176,64,127,36.36%,72.16%,35.8,109,0
