市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,1354,429,921,433,414,940,31.68%,1037,290,27.97%,1079,231,1123,79.69%,878,84.67%
弱势延续高,2251,969,2239,12,965,1286,43.05%,1538,625,40.64%,1483,1121,1130,65.88%,1079,70.16%
恐慌释放高,671,358,458,213,243,428,53.35%,500,264,52.80%,493,255,416,73.47%,393,78.60%
恐慌释放高+弱势延续高,452,224,452,0,224,228,49.56%,361,166,45.98%,372,226,226,82.30%,313,86.70%
过热回落高,225,117,78,147,48,177,52.00%,173,94,54.34%,177,0,225,78.67%,145,83.82%
