锚点日期,市场代理状态,原始方向阈值,自适应方向阈值,自适应阈值来源,历史样本数,历史正确数,历史准确率
2025-07-01,常规,0.345,0.345,沿用原阈值,0,0,
2025-07-15,常规,0.335,0.335,沿用原阈值,0,0,
2025-07-29,平稳高位横盘,0.615,0.3,全部历史,246,178,72.36%
2025-08-12,常规,0.615,0.3,相似环境:常规,246,178,72.36%
2025-08-26,常规,0.345,0.3,相似环境:常规,387,288,74.42%
2025-09-09,弱回调,0.335,0.335,全部历史,666,408,61.26%
2025-09-23,恐慌弱势,0.28,0.3,全部历史,802,487,60.72%
2025-10-15,强反弹,0.335,0.3,全部历史,932,567,60.84%
2025-11-12,常规,0.335,0.335,相似环境:常规,558,350,62.72%
2025-12-10,常规,0.335,0.45,相似环境:常规,709,408,57.55%
