实际市场状态,锚点日期,市场风险标签,日期数,股票预测数,原始正确数,修正后正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,噪声样本数,平均未来5日上涨比例,平均预测上涨概率,降噪后股票预测数,降噪后原始正确数,降噪后修正正确数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,预测上涨占比,实际上涨占比
强上涨,2026-04-07,常规环境,1,227,189,189,227,0,189,38,37,83.26%,45.01%,190,167,167,83.26%,83.26%,87.89%,87.89%,100.00%,83.26%
强上涨,2026-04-10,过热回落高,1,227,153,153,193,34,165,62,65,72.69%,40.65%,162,118,118,67.40%,67.40%,72.84%,72.84%,85.02%,72.69%
强上涨,2026-04-15,常规环境,1,227,168,168,211,16,166,61,67,73.13%,53.22%,160,130,130,74.01%,74.01%,81.25%,81.25%,92.95%,73.13%
强上涨,2026-04-28,恐慌释放高,1,227,77,184,223,4,186,41,32,81.94%,24.12%,195,60,169,33.92%,81.06%,30.77%,86.67%,98.24%,81.94%
强上涨,2026-04-29,常规环境,1,228,178,178,225,3,179,49,50,78.51%,40.20%,178,151,151,78.07%,78.07%,84.83%,84.83%,98.68%,78.51%
强下跌,2026-03-16,常规环境,1,225,31,209,0,225,16,209,7,7.11%,46.16%,218,25,207,13.78%,92.89%,11.47%,94.95%,0.00%,7.11%
强下跌,2026-03-19,恐慌释放高+弱势延续高,1,226,39,187,0,226,39,187,29,17.26%,81.96%,197,25,172,17.26%,82.74%,12.69%,87.31%,0.00%,17.26%
强下跌,2026-03-27,常规环境,1,226,64,162,0,226,64,162,65,28.32%,56.31%,161,38,123,28.32%,71.68%,23.60%,76.40%,0.00%,28.32%
强下跌,2026-05-07,过热回落高,1,228,47,190,16,212,26,202,12,11.40%,56.12%,216,41,184,20.61%,83.33%,18.98%,85.19%,7.02%,11.40%
普涨,2026-04-24,常规环境,1,228,147,153,159,69,146,82,76,64.04%,32.01%,152,101,106,64.47%,67.11%,66.45%,69.74%,69.74%,64.04%
普涨,2026-04-27,常规环境,1,228,159,159,192,36,159,69,69,69.74%,32.61%,159,122,122,69.74%,69.74%,76.73%,76.73%,84.21%,69.74%
普涨,2026-04-30,常规环境,1,228,159,159,191,37,158,70,56,69.30%,45.47%,172,131,131,69.74%,69.74%,76.16%,76.16%,83.77%,69.30%
普涨,2026-05-06,常规环境,1,228,144,155,194,34,155,73,66,67.98%,41.52%,162,111,121,63.16%,67.98%,68.52%,74.69%,85.09%,67.98%
普跌,2026-04-20,常规环境,1,228,99,160,69,159,89,139,64,39.04%,46.59%,164,72,124,43.42%,70.18%,43.90%,75.61%,30.26%,39.04%
震荡,2026-03-24,弱势延续高,1,226,122,139,175,51,122,104,79,53.98%,60.59%,147,78,94,53.98%,61.50%,53.06%,63.95%,77.43%,53.98%
震荡,2026-04-01,常规环境,1,227,132,132,116,111,121,106,98,53.30%,34.82%,129,86,86,58.15%,58.15%,66.67%,66.67%,51.10%,53.30%
