锚点日期,实际市场状态,市场风险标签,修正原因,股票数,发生修正数,原始正确数,修正后正确数,原始预测上涨数,原始预测下跌数,修正后预测上涨数,修正后预测下跌数,实际上涨数,实际下跌数,噪声样本数,原始准确率,修正后准确率,准确率变化百分点,修正净增正确数,原始实际下跌却预测上涨数,修正后实际下跌却预测上涨数
2026-03-05,普涨,弱势延续高,不修正,221,0,123,123,221,0,221,0,123,98,86,55.66%,55.66%,0.0,0,98,98
2026-03-05,普涨,弱势延续高,原始预测下跌，不修正,3,0,2,2,0,3,0,3,1,2,0,66.67%,66.67%,0.0,0,0,0
2026-03-06,普跌,弱势延续高,弱势趋势中的第二日反弹失败，原始上涨改下跌,221,221,77,144,221,0,0,221,77,144,78,34.84%,65.16%,30.32,67,144,0
2026-03-06,普跌,弱势延续高,原始预测下跌，不修正,3,0,1,1,0,3,0,3,2,1,1,33.33%,33.33%,0.0,0,0,0
2026-03-09,震荡,弱势延续高,弱势延续且当日继续大面积下跌，原始上涨改下跌,59,59,20,39,59,0,0,59,20,39,18,33.90%,66.10%,32.2,19,39,0
2026-03-09,震荡,弱势延续高,不修正,157,0,86,86,157,0,157,0,86,71,64,54.78%,54.78%,0.0,0,71,71
2026-03-09,震荡,弱势延续高,原始预测下跌，不修正,9,0,8,8,0,9,0,9,1,8,1,88.89%,88.89%,0.0,0,0,0
2026-03-20,普跌,弱势延续高,弱势延续且当日继续大面积下跌，原始上涨改下跌,226,226,81,145,226,0,0,226,81,145,70,35.84%,64.16%,28.32,64,145,0
2026-03-24,震荡,弱势延续高,弱势反弹但个股弱于行业，原始上涨改下跌,43,43,13,30,43,0,0,43,13,30,12,30.23%,69.77%,39.53,17,30,0
2026-03-24,震荡,弱势延续高,不修正,183,0,109,109,183,0,183,0,109,74,67,59.56%,59.56%,0.0,0,74,74
2026-03-25,震荡,弱势延续高,弱势反弹但个股弱于行业，原始上涨改下跌,52,52,19,33,52,0,0,52,19,33,23,36.54%,63.46%,26.92,14,33,0
2026-03-25,震荡,弱势延续高,不修正,174,0,98,98,174,0,174,0,98,76,74,56.32%,56.32%,0.0,0,76,76
2026-03-26,震荡,弱势延续高,弱势延续且当日继续大面积下跌，原始上涨改下跌,37,37,18,19,37,0,0,37,18,19,17,48.65%,51.35%,2.7,1,19,0
2026-03-26,震荡,弱势延续高,不修正,187,0,100,100,187,0,187,0,100,87,86,53.48%,53.48%,0.0,0,87,87
2026-03-26,震荡,弱势延续高,原始预测下跌，不修正,2,0,2,2,0,2,0,2,0,2,0,100.00%,100.00%,0.0,0,0,0
