信号规则,出手数,出手正确数,降噪后出手数,降噪后正确数,出手准确率,降噪后出手准确率
v16_弱势修复上涨,349,284,249,216,81.38%,86.75%
v16_恐慌弱势反抽上涨,346,292,220,203,84.39%,92.27%
