市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,3036,1204,2625,411,1021,2015,39.66%,2102,783,37.25%,1204,2625,411,39.66%,783,37.25%
弱势延续高,651,371,649,2,369,282,56.99%,381,232,60.89%,371,649,2,56.99%,232,60.89%
恐慌释放高+弱势延续高,217,176,217,0,176,41,81.11%,132,119,90.15%,176,217,0,81.11%,119,90.15%
过热回落高,433,214,418,15,217,216,49.42%,272,140,51.47%,214,418,15,49.42%,140,51.47%
