实际市场状态,错误类型,股票数,降噪后股票数,平均预测上涨概率,平均实际5日涨跌幅
强上涨,错判为上涨,128,65,44.99%,-3.34%
强上涨,错判为下跌,10,4,27.22%,1.99%
强上涨,预测正确,539,398,52.25%,5.09%
强下跌,错判为上涨,13,10,56.56%,-4.77%
强下跌,错判为下跌,107,68,45.39%,4.83%
强下跌,预测正确,553,488,49.19%,-5.99%
普涨,错判为上涨,164,88,59.12%,-3.01%
普涨,错判为下跌,1,1,27.83%,12.69%
普涨,预测正确,282,189,61.09%,4.40%
震荡,错判为上涨,166,82,52.56%,-2.76%
震荡,错判为下跌,19,13,51.43%,4.50%
震荡,预测正确,268,177,54.53%,3.42%
