锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-08-01,强上涨,常规环境,212,157,212,0,157,55,74.06%,124,102,82.26%,157,212,0,74.06%,102,82.26%
2025-08-04,强上涨,过热回落高,212,167,205,7,160,52,78.77%,135,114,84.44%,167,205,7,78.77%,114,84.44%
2025-08-05,普涨,过热回落高,212,144,199,13,133,79,67.92%,118,90,76.27%,144,199,13,67.92%,90,76.27%
2025-08-06,普涨,过热回落高,212,132,180,32,132,80,62.26%,112,70,62.50%,132,180,32,62.26%,70,62.50%
2025-08-07,震荡,常规环境,212,123,96,116,101,111,58.02%,126,75,59.52%,123,96,116,58.02%,75,59.52%
2025-08-08,普涨,常规环境,213,103,79,134,141,72,48.36%,130,67,51.54%,103,79,134,48.36%,67,51.54%
2025-08-11,普涨,过热回落高,213,128,195,18,144,69,60.09%,136,97,71.32%,128,195,18,60.09%,97,71.32%
2025-08-12,强上涨,常规环境,213,101,90,123,158,55,47.42%,141,62,43.97%,101,90,123,47.42%,62,43.97%
2025-08-13,强上涨,常规环境,213,123,148,65,158,55,57.75%,149,86,57.72%,123,148,65,57.75%,86,57.72%
2025-08-14,强上涨,恐慌释放高,214,168,196,18,176,38,78.50%,158,134,84.81%,168,196,18,78.50%,134,84.81%
2025-08-15,强上涨,过热回落高,214,104,92,122,160,54,48.60%,155,73,47.10%,104,92,122,48.60%,73,47.10%
2025-08-18,强上涨,过热回落高,214,109,99,115,154,60,50.93%,134,68,50.75%,109,99,115,50.93%,68,50.75%
2025-08-19,强上涨,常规环境,214,69,6,208,151,63,32.24%,141,34,24.11%,69,6,208,32.24%,34,24.11%
2025-08-20,普跌,过热回落高,215,108,98,117,89,126,50.23%,142,67,47.18%,108,98,117,50.23%,67,47.18%
2025-08-21,震荡,常规环境,215,110,24,191,105,110,51.16%,149,79,53.02%,107,35,180,49.77%,75,50.34%
2025-08-22,震荡,常规环境,215,100,107,108,98,117,46.51%,162,80,49.38%,100,107,108,46.51%,80,49.38%
2025-08-25,震荡,过热回落高,215,105,174,41,98,117,48.84%,162,82,50.62%,105,174,41,48.84%,82,50.62%
2025-08-26,普跌,常规环境,215,81,175,40,67,148,37.67%,171,63,36.84%,81,175,40,37.67%,63,36.84%
2025-08-27,普跌,恐慌释放高,215,79,211,4,77,138,36.74%,163,60,36.81%,79,211,4,36.74%,60,36.81%
2025-08-28,普跌,常规环境,216,88,175,41,65,151,40.74%,168,68,40.48%,88,175,41,40.74%,68,40.48%
2025-08-29,普跌,常规环境,216,112,141,75,87,129,51.85%,160,83,51.88%,112,141,75,51.85%,83,51.88%
