锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-03-16,强下跌,常规环境,225,0,225,209,0,225,16,209,100.00%,92.89%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,0,226,187,0,226,39,187,100.00%,82.74%
2026-03-24,震荡,弱势延续高,226,226,0,0,0,0,0,0,0.00%,
2026-03-27,强下跌,常规环境,226,0,226,162,0,226,64,162,100.00%,71.68%
2026-04-01,震荡,常规环境,227,0,227,147,115,112,121,106,100.00%,64.76%
2026-04-07,强上涨,常规环境,227,0,227,188,226,1,189,38,100.00%,82.82%
2026-04-10,强上涨,过热回落高,227,0,227,164,202,25,165,62,100.00%,72.25%
2026-04-15,强上涨,常规环境,227,0,227,167,220,7,166,61,100.00%,73.57%
2026-04-20,普跌,常规环境,228,0,228,158,79,149,89,139,100.00%,69.30%
2026-04-24,普涨,常规环境,228,0,228,153,175,53,146,82,100.00%,67.11%
2026-04-27,普涨,常规环境,228,0,228,163,198,30,159,69,100.00%,71.49%
2026-04-28,强上涨,恐慌释放高,227,0,227,185,222,5,186,41,100.00%,81.50%
2026-04-29,强上涨,常规环境,228,0,228,180,223,5,179,49,100.00%,78.95%
2026-04-30,普涨,常规环境,228,0,228,162,190,38,158,70,100.00%,71.05%
2026-05-06,普涨,常规环境,228,0,228,156,195,33,155,73,100.00%,68.42%
2026-05-07,强下跌,过热回落高,228,0,228,202,0,228,26,202,100.00%,88.60%
