实际市场状态,错误类型,股票数,降噪后股票数,平均预测上涨概率,平均实际5日涨跌幅
强上涨,错判为上涨,91,38,53.24%,-2.21%
强上涨,错判为下跌,8,6,25.78%,4.52%
强上涨,预测正确,325,232,51.97%,5.17%
强下跌,错判为下跌,115,70,49.75%,4.93%
强下跌,预测正确,318,230,48.53%,-3.81%
普涨,错判为上涨,70,34,50.31%,-2.34%
普涨,错判为下跌,14,12,42.03%,7.46%
普涨,预测正确,132,90,48.91%,3.33%
普跌,错判为上涨,55,26,45.71%,-2.80%
普跌,错判为下跌,189,128,42.33%,5.04%
普跌,预测正确,400,285,42.84%,-3.40%
震荡,错判为上涨,202,96,54.67%,-2.63%
震荡,错判为下跌,4,2,25.22%,7.38%
震荡,预测正确,220,140,54.90%,4.61%
