锚点日期,训练天数,特征数量,股票数量,决策模式,预测市场上涨概率,预测未来5日上涨比例,相似市场预测上涨比例,机会模型强上涨概率,风险模型强下跌概率,融合预测上涨比例,预测市场方向,预测市场状态,实际未来5日上涨比例,实际市场方向,实际市场状态,市场方向预测是否准确,未来卖出日期
2026-04-27,120,279,228,regime,,43.20%,,4.71%,52.82%,41.27%,下跌,普跌,69.74%,上涨,普涨,0,2026-05-08
2026-04-28,120,279,227,regime,,49.12%,,4.06%,20.88%,48.44%,震荡,震荡,81.94%,上涨,强上涨,0,2026-05-08
2026-04-29,120,279,228,regime,,50.97%,,1.02%,30.46%,49.79%,震荡,震荡,78.51%,上涨,强上涨,0,2026-05-11
2026-04-30,120,279,228,regime,,29.96%,,1.15%,35.51%,28.58%,下跌,强下跌,69.30%,上涨,普涨,0,2026-05-12
2026-05-06,120,279,228,regime,,44.71%,,1.93%,5.37%,44.57%,下跌,普跌,67.98%,上涨,普涨,0,2026-05-13
2026-05-07,120,279,228,regime,,46.54%,,1.25%,2.83%,46.48%,震荡,震荡,11.40%,下跌,强下跌,1,2026-05-14
