市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,677,348,473,204,402,275,51.40%,505,266,52.67%,530,467,210,78.29%,426,84.36%
弱势延续高,451,151,447,4,147,304,33.48%,355,101,28.45%,339,175,276,75.17%,283,79.72%
恐慌释放高,223,157,218,5,154,69,70.40%,143,111,77.62%,157,218,5,70.40%,111,77.62%
恐慌释放高+弱势延续高,223,186,219,4,188,35,83.41%,147,127,86.39%,186,219,4,83.41%,127,86.39%
过热回落高,676,363,572,104,297,379,53.70%,433,247,57.04%,430,443,233,63.61%,305,70.44%
