市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,3665,1731,3163,502,1671,1994,47.23%,2466,1155,46.84%,1733,3171,494,47.29%,1156,46.88%
弱势延续高,216,180,214,2,178,38,83.33%,163,141,86.50%,180,214,2,83.33%,141,86.50%
恐慌释放高,646,316,624,22,310,336,48.92%,410,209,50.98%,316,624,22,48.92%,209,50.98%
过热回落高,216,73,180,36,71,145,33.80%,139,53,38.13%,73,180,36,33.80%,53,38.13%
