市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2460,1310,2068,392,1096,1364,53.25%,1681,911,54.19%,1530,1672,788,62.20%,1121,66.69%
弱势延续高,224,133,217,7,128,96,59.38%,117,68,58.12%,133,217,7,59.38%,68,58.12%
恐慌释放高+弱势延续高,223,184,213,10,188,35,82.51%,147,125,85.03%,184,213,10,82.51%,125,85.03%
过热回落高,224,133,182,42,125,99,59.38%,135,87,64.44%,133,182,42,59.38%,87,64.44%
