观望原因,总股票数,观望数,出手数,出手准确数,出手准确率,覆盖率
弱势大跌但未继续恶化，方向分歧，观望,451,451,0,0,,0.00%
弱势趋势强反弹后方向分歧，观望,900,900,0,0,,0.00%
