市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2958,1894,2305,653,1827,1131,64.03%,2129,1454,68.29%,2041,1776,1182,69.00%,1573,73.88%
弱势延续高,227,185,226,1,184,43,81.50%,186,163,87.63%,185,226,1,81.50%,163,87.63%
恐慌释放高,680,375,368,312,467,213,55.15%,528,289,54.73%,496,571,109,72.94%,412,78.03%
过热回落高,909,576,775,134,554,355,63.37%,580,402,69.31%,576,775,134,63.37%,402,69.31%
