锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,186,217,6,188,35,83.41%,147,126,85.71%,186,217,6,83.41%,126,85.71%
2026-02-03,普涨,弱势延续高,224,130,222,2,128,96,58.04%,117,69,58.97%,130,222,2,58.04%,69,58.97%
2026-02-04,普涨,常规环境,224,128,223,1,127,97,57.14%,94,51,54.26%,128,223,1,57.14%,51,54.26%
2026-02-05,普涨,常规环境,224,153,211,13,142,82,68.30%,137,104,75.91%,153,211,13,68.30%,104,75.91%
2026-02-06,震荡,常规环境,224,125,214,10,117,107,55.80%,124,77,62.10%,125,214,10,55.80%,77,62.10%
2026-02-09,普涨,过热回落高,224,127,222,2,125,99,56.70%,135,80,59.26%,127,222,2,56.70%,80,59.26%
2026-02-10,普涨,常规环境,224,145,211,13,138,86,64.73%,132,88,66.67%,145,211,13,64.73%,88,66.67%
2026-02-11,普涨,常规环境,224,142,216,8,136,88,63.39%,134,100,74.63%,142,216,8,63.39%,100,74.63%
2026-02-12,普涨,常规环境,224,149,217,7,148,76,66.52%,136,99,72.79%,149,217,7,66.52%,99,72.79%
2026-02-13,震荡,常规环境,224,105,221,3,102,122,46.88%,167,84,50.30%,105,221,3,46.88%,84,50.30%
2026-02-24,强下跌,常规环境,223,79,183,40,51,172,35.43%,185,64,34.59%,172,0,223,77.13%,150,81.08%
2026-02-25,强下跌,常规环境,223,113,131,92,41,182,50.67%,195,94,48.21%,113,131,92,50.67%,94,48.21%
2026-02-26,强下跌,常规环境,223,175,9,214,47,176,78.48%,193,160,82.90%,175,9,214,78.48%,160,82.90%
2026-02-27,强下跌,常规环境,223,156,60,163,47,176,69.96%,184,131,71.20%,156,60,163,69.96%,131,71.20%
