锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,0,223,184,213,10,188,35,100.00%,82.51%
2026-02-03,普涨,弱势延续高,224,0,224,133,217,7,128,96,100.00%,59.38%
2026-02-04,普涨,常规环境,224,0,224,128,217,7,127,97,100.00%,57.14%
2026-02-05,普涨,常规环境,224,0,224,149,209,15,142,82,100.00%,66.52%
2026-02-06,震荡,常规环境,224,0,224,122,207,17,117,107,100.00%,54.46%
2026-02-09,普涨,过热回落高,224,0,224,133,182,42,125,99,100.00%,59.38%
2026-02-10,普涨,常规环境,224,0,224,143,193,31,138,86,100.00%,63.84%
2026-02-11,普涨,常规环境,224,0,224,149,197,27,136,88,100.00%,66.52%
2026-02-12,普涨,常规环境,224,0,224,154,196,28,148,76,100.00%,68.75%
2026-02-13,震荡,常规环境,224,0,224,105,209,15,102,122,100.00%,46.88%
2026-02-24,强下跌,常规环境,223,0,223,172,0,223,51,172,100.00%,77.13%
2026-02-25,强下跌,常规环境,223,0,223,182,0,223,41,182,100.00%,81.61%
2026-02-26,强下跌,常规环境,223,0,223,155,51,172,47,176,100.00%,69.51%
2026-02-27,强下跌,常规环境,223,0,223,71,193,30,47,176,100.00%,31.84%
