代码,名称,交易所,板块,行业
000021,深科技,深交所,深市主板,消费电子
000062,深圳华强,深交所,深市主板,其他电子Ⅱ
000063,中兴通讯,深交所,深市主板,通信设备
000338,潍柴动力,深交所,深市主板,汽车零部件
000513,丽珠集团,深交所,深市主板,化学制药
000526,学大教育,深交所,深市主板,教育
000603,盛达资源,深交所,深市主板,贵金属
000762,西藏矿业,深交所,深市主板,能源金属
000792,盐湖股份,深交所,深市主板,农化制品
000807,云铝股份,深交所,深市主板,工业金属
000811,冰轮环境,深交所,深市主板,通用设备
000880,潍柴重机,深交所,深市主板,汽车零部件
000933,神火股份,深交所,深市主板,工业金属
000935,四川双马,深交所,深市主板,多元金融
000938,紫光股份,深交所,深市主板,IT服务Ⅱ
000963,华东医药,深交所,深市主板,化学制药
001220,世盟股份,深交所,深市主板,物流
001228,永泰运,深交所,深市主板,物流
001229,魅视科技,深交所,深市主板,计算机设备
001255,博菲电气,深交所,深市主板,塑料
001277,速达股份,深交所,深市主板,专用设备
001279,强邦新材,深交所,深市主板,包装印刷
001287,中电港,深交所,深市主板,其他电子Ⅱ
001311,多利科技,深交所,深市主板,汽车零部件
001328,登康口腔,深交所,深市主板,个护用品
001336,楚环科技,深交所,深市主板,环保设备Ⅱ
001388,信通电子,深交所,深市主板,电网设备
001395,亚联机械,深交所,深市主板,专用设备
002001,新 和 成,深交所,深市主板,化学制品
002074,国轩高科,深交所,深市主板,电池
002128,电投能源,深交所,深市主板,煤炭开采
002134,天津普林,深交所,深市主板,元件
002138,顺络电子,深交所,深市主板,元件
002142,宁波银行,深交所,深市主板,银行Ⅱ
002158,汉钟精机,深交所,深市主板,通用设备
002190,成飞集成,深交所,深市主板,汽车零部件
002261,拓维信息,深交所,深市主板,软件开发
002273,水晶光电,深交所,深市主板,光学光电子
002294,信立泰,深交所,深市主板,化学制药
002315,焦点科技,深交所,深市主板,互联网电商
002352,顺丰控股,深交所,深市主板,物流
002378,章源钨业,深交所,深市主板,小金属
