市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2154,1088,1570,584,926,1228,50.51%,1472,770,52.31%,1086,1574,580,50.42%,768,52.17%
弱势延续高,431,249,426,5,246,185,57.77%,290,177,61.03%,249,426,5,57.77%,177,61.03%
恐慌释放高,431,207,209,222,223,208,48.03%,268,123,45.90%,207,209,222,48.03%,123,45.90%
恐慌释放高+弱势延续高,216,172,214,2,170,46,79.63%,135,117,86.67%,46,0,216,21.30%,20,14.81%
过热回落高,430,223,365,65,244,186,51.86%,278,150,53.96%,223,365,65,51.86%,150,53.96%
