市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2958,1741,2338,620,1827,1131,58.86%,2129,1315,61.77%,1873,1770,1188,63.32%,1432,67.26%
弱势延续高,227,180,221,6,184,43,79.30%,186,159,85.48%,180,221,6,79.30%,159,85.48%
恐慌释放高,680,397,480,200,467,213,58.38%,528,310,58.71%,472,597,83,69.41%,384,72.73%
过热回落高,909,533,794,115,554,355,58.64%,580,359,61.90%,533,794,115,58.64%,359,61.90%
