市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2460,1413,1973,487,1096,1364,57.44%,1681,1002,59.61%,1529,1757,703,62.15%,1111,66.09%
弱势延续高,224,129,223,1,128,96,57.59%,117,68,58.12%,129,223,1,57.59%,68,58.12%
恐慌释放高+弱势延续高,223,186,217,6,188,35,83.41%,147,126,85.71%,186,217,6,83.41%,126,85.71%
过热回落高,224,127,222,2,125,99,56.70%,135,80,59.26%,127,222,2,56.70%,80,59.26%
