锚点日期,实际市场状态,市场风险标签,股票预测数,实际上涨数,实际下跌数,实际上涨比例,原始预测上涨比例,修正后预测上涨比例,原始上涨偏差,修正后上涨偏差,原始准确率,修正后准确率,修正影响百分点,降噪后修正准确率
2025-10-09,普跌,常规环境,216,69,147,31.94%,68.52%,68.52%,36.57%,36.57%,40.28%,40.28%,0.00%,38.96%
2025-10-10,强下跌,常规环境,216,44,172,20.37%,90.74%,93.52%,70.37%,73.15%,24.07%,21.30%,-2.77%,18.60%
2025-10-13,强下跌,常规环境,216,60,156,27.78%,27.31%,27.31%,-0.46%,-0.46%,64.35%,64.35%,0.00%,63.87%
2025-10-14,震荡,恐慌释放高,216,108,108,50.00%,96.76%,96.76%,46.76%,46.76%,50.46%,50.46%,0.00%,47.69%
2025-10-15,强下跌,常规环境,216,60,156,27.78%,93.52%,93.52%,65.74%,65.74%,33.33%,33.33%,0.00%,32.21%
2025-10-16,普跌,弱势延续高,216,78,138,36.11%,98.15%,98.15%,62.04%,62.04%,37.96%,37.96%,0.00%,39.73%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,170,46,78.70%,99.07%,0.00%,20.37%,-78.70%,79.63%,21.30%,-58.33%,14.81%
2025-10-20,强上涨,弱势延续高,215,168,47,78.14%,100.00%,100.00%,21.86%,21.86%,78.14%,78.14%,0.00%,83.33%
2025-10-21,普涨,常规环境,215,137,78,63.72%,91.16%,91.16%,27.44%,27.44%,65.12%,65.12%,0.00%,70.34%
2025-10-22,强上涨,常规环境,215,163,52,75.81%,99.07%,99.07%,23.26%,23.26%,76.74%,76.74%,0.00%,84.77%
2025-10-23,普涨,常规环境,215,131,84,60.93%,98.60%,98.60%,37.67%,37.67%,61.40%,61.40%,0.00%,71.54%
2025-10-24,普涨,过热回落高,215,127,88,59.07%,82.79%,82.79%,23.72%,23.72%,56.74%,56.74%,0.00%,61.11%
2025-10-27,震荡,过热回落高,215,117,98,54.42%,77.67%,77.67%,23.26%,23.26%,50.70%,50.70%,0.00%,51.97%
2025-10-28,震荡,常规环境,215,97,118,45.12%,0.47%,0.47%,-44.65%,-44.65%,54.42%,54.42%,0.00%,54.97%
2025-10-29,普跌,常规环境,215,78,137,36.28%,56.74%,56.74%,20.47%,20.47%,45.12%,45.12%,0.00%,46.36%
2025-10-30,震荡,恐慌释放高,215,115,100,53.49%,0.00%,0.00%,-53.49%,-53.49%,46.51%,46.51%,0.00%,44.93%
2025-10-31,普跌,常规环境,215,87,128,40.47%,81.86%,81.86%,41.40%,41.40%,55.81%,55.81%,0.00%,61.70%
