市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2958,1883,2230,728,1827,1131,63.66%,2129,1443,67.78%,1937,1820,1138,65.48%,1487,69.84%
弱势延续高,227,173,210,17,184,43,76.21%,186,151,81.18%,173,210,17,76.21%,151,81.18%
恐慌释放高,680,464,581,99,467,213,68.24%,528,393,74.43%,469,592,88,68.97%,397,75.19%
过热回落高,909,565,714,195,554,355,62.16%,580,401,69.14%,565,714,195,62.16%,401,69.14%
