实际市场状态,日期数,股票预测数,原始正确数,修正后正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,噪声样本数,平均未来5日上涨比例,平均预测上涨概率,降噪后股票预测数,降噪后原始正确数,降噪后修正正确数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,预测上涨占比,实际上涨占比
强上涨,2,424,258,325,407,17,324,100,148,76.42%,51.75%,276,171,232,60.85%,76.65%,61.96%,84.06%,95.99%,76.42%
强下跌,2,433,140,318,2,431,117,316,133,27.02%,48.85%,300,92,230,32.33%,73.44%,30.67%,76.67%,0.46%,27.02%
普涨,1,216,121,132,176,40,120,96,80,55.56%,48.92%,136,79,90,56.02%,61.11%,58.09%,66.18%,81.48%,55.56%
普跌,3,644,287,400,114,530,248,396,205,38.51%,42.94%,439,194,285,44.57%,62.11%,44.19%,64.92%,17.70%,38.51%
震荡,2,426,231,220,413,13,215,211,188,50.47%,54.51%,238,133,140,54.23%,51.64%,55.88%,58.82%,96.95%,50.47%
