锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-10-09,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-10-10,强下跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-10-13,强下跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-10-14,震荡,恐慌释放高,216,216,0,0,0,0,0,0,0.00%,
2025-10-15,强下跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-10-16,普跌,弱势延续高,216,216,0,0,0,0,0,0,0.00%,
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,62,154,131,154,0,131,23,71.30%,85.06%
2025-10-20,强上涨,弱势延续高,215,79,136,109,136,0,109,27,63.26%,80.15%
2025-10-21,普涨,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-10-22,强上涨,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-10-23,普涨,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-10-24,普涨,过热回落高,215,215,0,0,0,0,0,0,0.00%,
2025-10-27,震荡,过热回落高,215,215,0,0,0,0,0,0,0.00%,
2025-10-28,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-10-29,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-10-30,震荡,恐慌释放高,215,215,0,0,0,0,0,0,0.00%,
2025-10-31,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
