锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期,市场未来5日上涨比例,实际市场方向,实际市场状态,恐慌释放特征,过热回落风险特征,弱势延续风险特征,当日上涨比例,当日平均涨跌幅,上涨行业比例,行业强涨比例_1pct,连续上涨天数,上证指数_10日涨跌幅,上证指数_20日涨跌幅,上证指数_20日位置,沪深300_20日涨跌幅,沪深300_20日位置,中证500_20日涨跌幅,中证500_20日位置,中证1000_20日涨跌幅,中证1000_20日位置,5日后的实际涨跌幅,行业平均涨跌幅,行业上涨比例,个股强于行业,是否噪声样本,市场风险标签,原始预测涨跌,原始预测是否准确,修正原因,修正后预测涨跌,修正后预测是否准确,是否发生修正
2026-03-16,37942,core,49,2026-03-16,000935,四川双马,多元金融,27.73,26.95,27.76,26.6,5746300.0,155319409.0,4.19,-2.6021,0.7527,0.7943710037008889,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1432282003710575,-2.6021,0.0,0.0,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,600699,均胜电子,汽车零部件,25.48,25.15,25.48,24.74,20297814.0,508289090.42,2.91,-1.1399,1.4979,0.763017740940646,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.0831013916500994,-0.4540695652173913,0.3478260869565217,-0.6858304347826086,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,601168,西部矿业,工业金属,29.55,28.53,29.6,27.62,81309438.0,2308811334.23,6.6,-4.9634,3.4121,0.7523357821722071,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1352961794602173,-2.8730599999999997,0.0,-2.0903400000000003,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,000338,潍柴动力,汽车零部件,24.82,24.55,24.83,24.04,104751078.0,2553117872.61,3.18,-1.3264,2.092,0.7433641232744935,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.0818737270875764,-0.4540695652173913,0.3478260869565217,-0.8723304347826087,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,002158,汉钟精机,通用设备,24.12,24.04,24.2,23.59,5395100.0,128665288.0,2.51,-1.1919,1.0111,0.7428155491673748,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.0736272878535773,-0.375625,0.375,-0.8162749999999999,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,001336,楚环科技,环保设备Ⅱ,27.11,27.59,28.0,27.05,1767212.0,48692798.42,3.44,-0.217,3.7937,0.7412035225117668,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1243204059441827,-0.217,0.0,0.0,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,600885,宏发股份,电网设备,29.88,29.46,30.06,29.11,24661754.0,726758225.52,3.17,-1.5703,1.5936,0.740756714754303,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.0801086218601493,-1.4591,0.2222222222222222,-0.1111999999999999,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,605133,嵘泰股份,汽车零部件,28.63,28.41,28.7,28.15,2808067.0,79655263.5,1.92,-0.7338,0.9954,0.738500298421365,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1129883843717001,-0.4540695652173913,0.3478260869565217,-0.2797304347826087,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,000811,冰轮环境,通用设备,19.11,18.93,19.17,18.28,22504592.0,419454608.16,4.64,-1.3549,2.3002,0.7360362800557054,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1304807184363443,-0.375625,0.375,-0.979275,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
2026-03-16,37942,core,49,2026-03-16,002906,华阳集团,汽车零部件,29.7183402,29.53137051,29.79706428,28.89173736,7935425.0,236035816.68,3.04,-0.8589,1.5123,0.7277883601725934,0.28,上涨,下跌,0,2026-03-23,0.0711111111111111,下跌,强下跌,0,0,0,0.4311111111111111,-0.4242386666666666,0.3783783783783784,0.2027027027027027,0,-0.0233838552080243,0.0047231597807095,0.0269920999459813,0.0060218848931277,0.5172882409045119,0.0047553691362165,0.0,0.0198442560462275,0.2505407173108869,-0.1056314561812727,-0.4540695652173913,0.3478260869565217,-0.4048304347826087,False,常规环境,上涨,0,常规环境但短线破位，原始上涨改下跌,下跌,1,1
