锚点日期,实际市场状态,市场风险标签,修正原因,股票数,发生修正数,原始正确数,修正后正确数,原始预测上涨数,原始预测下跌数,修正后预测上涨数,修正后预测下跌数,实际上涨数,实际下跌数,噪声样本数,原始准确率,修正后准确率,准确率变化百分点,修正净增正确数,原始实际下跌却预测上涨数,修正后实际下跌却预测上涨数
2026-03-19,强下跌,恐慌释放高+弱势延续高,恐慌释放且弱势延续，并且大中小盘20日趋势转弱，原始上涨改下跌,226,226,39,187,226,0,0,226,39,187,29,17.26%,82.74%,65.49,148,187,0
2026-03-20,普跌,弱势延续高,弱势延续且当日继续大面积下跌，原始上涨改下跌,226,226,81,145,226,0,0,226,81,145,70,35.84%,64.16%,28.32,64,145,0
2026-03-23,强上涨,恐慌释放高+弱势延续高,不修正,226,0,185,185,226,0,226,0,185,41,62,81.86%,81.86%,0.0,0,41,41
2026-03-24,震荡,弱势延续高,弱势反弹但个股弱于行业，原始上涨改下跌,43,43,13,30,43,0,0,43,13,30,12,30.23%,69.77%,39.53,17,30,0
2026-03-24,震荡,弱势延续高,不修正,183,0,109,109,183,0,183,0,109,74,67,59.56%,59.56%,0.0,0,74,74
2026-03-25,震荡,弱势延续高,弱势反弹但个股弱于行业，原始上涨改下跌,52,52,19,33,52,0,0,52,19,33,23,36.54%,63.46%,26.92,14,33,0
2026-03-25,震荡,弱势延续高,不修正,174,0,98,98,174,0,174,0,98,76,74,56.32%,56.32%,0.0,0,76,76
2026-03-26,震荡,弱势延续高,弱势延续且当日继续大面积下跌，原始上涨改下跌,37,37,18,19,37,0,0,37,18,19,17,48.65%,51.35%,2.7,1,19,0
2026-03-26,震荡,弱势延续高,不修正,187,0,100,100,187,0,187,0,100,87,86,53.48%,53.48%,0.0,0,87,87
2026-03-26,震荡,弱势延续高,原始预测下跌，不修正,2,0,2,2,0,2,0,2,0,2,0,100.00%,100.00%,0.0,0,0,0
2026-03-27,强下跌,常规环境,常规环境但弱趋势强反弹，原始上涨改下跌,226,226,64,162,226,0,0,226,64,162,65,28.32%,71.68%,43.36,98,162,0
2026-03-30,普跌,常规环境,下跌趋势中弱反抽，原始上涨改下跌,208,208,68,140,208,0,0,208,68,140,82,32.69%,67.31%,34.62,72,140,0
2026-03-30,普跌,常规环境,原始预测下跌，不修正,18,0,14,14,0,18,0,18,4,14,3,77.78%,77.78%,0.0,0,0,0
2026-03-31,强上涨,常规环境,指数超跌且恐慌未形成弱势延续，原始下跌改上涨,146,146,30,116,0,146,146,0,116,30,50,20.55%,79.45%,58.9,86,0,30
2026-03-31,强上涨,常规环境,不修正,81,0,69,69,81,0,81,0,69,12,17,85.19%,85.19%,0.0,0,12,12
