版本,股票预测数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,发生修正数,修正收益百分点
当前core_v13,12858,55.43%,70.03%,56.61%,75.41%,3662,14.61
core_v14,12858,52.78%,67.71%,53.18%,72.48%,3713,14.92
