锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-09-01,震荡,常规环境,216,0,216,116,188,28,102,114,100.00%,53.70%
2025-09-02,震荡,恐慌释放高,216,0,216,107,206,10,103,113,100.00%,49.54%
2025-09-03,普涨,常规环境,216,0,216,144,179,37,133,83,100.00%,66.67%
2025-09-04,强上涨,弱势延续高,216,0,216,180,214,2,178,38,100.00%,83.33%
2025-09-05,普涨,常规环境,216,0,216,130,216,0,130,86,100.00%,60.19%
2025-09-08,普跌,常规环境,216,0,216,77,206,10,79,137,100.00%,35.65%
2025-09-09,普涨,常规环境,216,0,216,120,184,32,120,96,100.00%,55.56%
2025-09-10,普涨,常规环境,216,0,216,100,45,171,135,81,100.00%,46.30%
2025-09-11,普跌,过热回落高,216,0,216,73,180,36,71,145,100.00%,33.80%
2025-09-12,普跌,常规环境,216,0,216,80,193,23,81,135,100.00%,37.04%
2025-09-15,普跌,常规环境,216,0,216,85,214,2,83,133,100.00%,39.35%
2025-09-16,强下跌,常规环境,216,0,216,84,162,54,56,160,100.00%,38.89%
2025-09-17,普跌,常规环境,215,0,215,79,193,22,71,144,100.00%,36.74%
2025-09-18,普跌,恐慌释放高,215,0,215,91,206,9,90,125,100.00%,42.33%
2025-09-19,普跌,常规环境,215,0,215,82,199,16,80,135,100.00%,38.14%
2025-09-22,普跌,常规环境,215,0,215,93,203,12,89,126,100.00%,43.26%
2025-09-23,震荡,恐慌释放高,215,0,215,118,212,3,117,98,100.00%,54.88%
2025-09-24,震荡,常规环境,215,0,215,102,213,2,102,113,100.00%,47.44%
2025-09-25,震荡,常规环境,215,0,215,120,198,17,113,102,100.00%,55.81%
2025-09-26,震荡,常规环境,215,0,215,110,209,6,106,109,100.00%,51.16%
2025-09-29,普跌,常规环境,215,0,215,96,209,6,92,123,100.00%,44.65%
2025-09-30,震荡,常规环境,216,0,216,115,160,56,99,117,100.00%,53.24%
