锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,185,212,11,188,35,82.96%,147,126,85.71%,185,212,11,82.96%,126,85.71%
2026-02-03,普涨,弱势延续高,224,129,221,3,128,96,57.59%,117,67,57.26%,129,221,3,57.59%,67,57.26%
2026-02-04,普涨,常规环境,224,128,219,5,127,97,57.14%,94,51,54.26%,128,219,5,57.14%,51,54.26%
2026-02-05,普涨,常规环境,224,147,209,15,142,82,65.62%,137,100,72.99%,147,209,15,65.62%,100,72.99%
2026-02-06,震荡,常规环境,224,127,206,18,117,107,56.70%,124,77,62.10%,127,206,18,56.70%,77,62.10%
2026-02-09,普涨,过热回落高,224,135,186,38,125,99,60.27%,135,91,67.41%,135,186,38,60.27%,91,67.41%
2026-02-10,普涨,常规环境,224,146,200,24,138,86,65.18%,132,91,68.94%,146,200,24,65.18%,91,68.94%
2026-02-11,普涨,常规环境,224,147,203,21,136,88,65.62%,134,106,79.10%,147,203,21,65.62%,106,79.10%
2026-02-12,普涨,常规环境,224,149,193,31,148,76,66.52%,136,98,72.06%,149,193,31,66.52%,98,72.06%
2026-02-13,震荡,常规环境,224,110,208,16,102,122,49.11%,167,90,53.89%,110,208,16,49.11%,90,53.89%
2026-02-24,强下跌,常规环境,223,67,195,28,51,172,30.04%,185,53,28.65%,172,0,223,77.13%,150,81.08%
2026-02-25,强下跌,常规环境,223,68,192,31,41,182,30.49%,195,55,28.21%,182,0,223,81.61%,165,84.62%
2026-02-26,强下跌,常规环境,223,162,42,181,47,176,72.65%,193,150,77.72%,162,42,181,72.65%,150,77.72%
2026-02-27,强下跌,常规环境,223,73,191,32,47,176,32.74%,184,59,32.07%,73,191,32,32.74%,59,32.07%
