锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-11-03,震荡,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-11-04,普涨,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-11-05,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-11-06,震荡,过热回落高,216,216,0,0,0,0,0,0,0.00%,
2025-11-07,震荡,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-10,普跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-11,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-12,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-13,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-14,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-17,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-18,强下跌,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-19,强下跌,常规环境,218,218,0,0,0,0,0,0,0.00%,
2025-11-20,强下跌,弱势延续高,217,217,0,0,0,0,0,0,0.00%,
2025-11-21,强上涨,恐慌释放高+弱势延续高,217,25,192,161,192,0,161,31,88.48%,83.85%
2025-11-24,强上涨,弱势延续高,217,37,180,157,180,0,157,23,82.95%,87.22%
2025-11-25,普涨,弱势延续高,217,184,33,18,33,0,18,15,15.21%,54.55%
2025-11-26,震荡,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-27,震荡,常规环境,217,217,0,0,0,0,0,0,0.00%,
2025-11-28,震荡,过热回落高,217,217,0,0,0,0,0,0,0.00%,
