市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2460,1399,1949,511,1096,1364,56.87%,1681,992,59.01%,1604,1602,858,65.20%,1190,70.79%
弱势延续高,224,128,224,0,128,96,57.14%,117,67,57.26%,128,224,0,57.14%,67,57.26%
恐慌释放高+弱势延续高,223,188,219,4,188,35,84.30%,147,128,87.07%,188,219,4,84.30%,128,87.07%
过热回落高,224,124,219,5,125,99,55.36%,135,77,57.04%,124,219,5,55.36%,77,57.04%
