特征,平均相关性绝对值,最高相关性绝对值,平均收益比例相关性,平均方向标签相关性
当日大涨比例_3pct_近10日均值,0.30717036712191187,0.3730746883410171,-0.3039937587614797,-0.2986641286997892
当日强涨比例_5pct_近10日均值,0.25601228675384013,0.3421425734037837,-0.2538134516720349,-0.2442875525863529
当日平均成交额_近3日均值,0.2542499117849571,0.264588399769095,-0.2542499117849571,-0.1770454308217744
当日平均成交额_近10日均值,0.2518215028789462,0.26082345070028,-0.2518215028789462,-0.15619653605148998
极端涨跌差_近10日均值,0.251265486098612,0.33350499104255754,-0.20863362222561832,-0.2509602274819948
当日平均涨跌幅_近20日最高,0.2501033299943248,0.30859520328806245,-0.24969034534898582,-0.23610756455016568
当日平均成交额,0.24996022424195308,0.2605739794598006,-0.24996022424195308,-0.18302562210280435
当日平均成交额_近5日均值,0.24911083483456326,0.256114609806371,-0.24911083483456326,-0.16963848984023694
当日平均成交量_近10日均值,0.2476633475256591,0.2547146033846843,-0.2476633475256591,-0.168734885326534
极端涨跌差_近5日均值,0.2475913857140283,0.31913471667993576,-0.2475913857140283,-0.19484678650236076
当日大涨比例_3pct_近5日均值,0.24513656002973178,0.3165000345173065,-0.24513656002973178,-0.17691779050397893
当日平均成交量_近5日均值,0.24086013085559915,0.24681589623483569,-0.24086013085559915,-0.17897138649026464
当日强涨比例_5pct_近5日均值,0.24031303394346437,0.3008326196415041,-0.24031303394346437,-0.1777665955234026
当日强涨比例_5pct_近3日均值,0.2337446308598042,0.283626559446809,-0.2337446308598042,-0.1563893815774055
当日平均振幅_近10日均值,0.23153311993266953,0.2768588135747667,-0.23153311993266953,-0.167742911881519
当日平均成交量_近3日均值,0.22819746404758134,0.23974557052372505,-0.22819746404758134,-0.17172039058109004
当日平均涨跌幅_近10日均值,0.22700037236455053,0.275336233090896,-0.17674800711937372,-0.22700037236455053
当日成交额标准差,0.22251911565240864,0.22935528902434127,-0.22251911565240864,-0.16338817303254563
当日平均换手率_近5日均值,0.21838617884417583,0.2521950186394663,-0.15422509198785492,-0.21838617884417583
当日平均成交量,0.2168260458036826,0.2269634731825631,-0.2168260458036826,-0.17429433303554373
极端涨跌差_近3日均值,0.2163422266863448,0.27508201127929394,-0.2163422266863448,-0.17065292220167044
涨跌扩散差_近10日均值,0.2144265419291918,0.2765155656222287,-0.15034669080522142,-0.2144265419291918
当日平均涨跌幅_近10日最高,0.2129434878879241,0.26147849636943354,-0.21275110823253013,-0.20568915456756903
小盘强于中盘_5日_近10日标准差,0.21228915218066036,0.24490665975977688,-0.21228915218066036,-0.1495009493559416
amp_mean_10_均值,0.21228603908448,0.2600543568464211,-0.21228603908448,-0.14812004942461415
当日大涨比例_3pct_近3日均值,0.20469041384179767,0.2713111809570312,-0.20469041384179767,-0.14077195691664265
当日平均换手率_近10日均值,0.1969208608161825,0.22463191607629843,-0.14710366182332274,-0.1969208608161825
中证1000强于沪深300_5日_近10日标准差,0.1951166234691734,0.24200407767058724,-0.1951166234691734,-0.1367941640156971
当日平均换手率_近3日均值,0.19384395087456494,0.21505115850086576,-0.14163872498990077,-0.19384395087456494
ret_10_均值,0.18983541689690472,0.23871949696015116,-0.1322355985716276,-0.18983541689690472
行业强涨比例_1pct_近10日均值,0.18198947474448748,0.2338986709404116,-0.1756022117793892,-0.1771053285270891
行业强跌比例_1pct_近5日标准差,0.18128103893746664,0.20899038276591722,0.16717050297976838,0.1804023826978522
中证500强于沪深300_5日_近10日标准差,0.18019739172538904,0.22379337854876383,-0.18019739172538904,-0.0902866985655513
弱势延续风险特征,0.17721292548825032,0.2357205698143384,0.17044388676766123,0.17222769380717234
当日上涨比例_近20日最高,0.1740611984767802,0.21673348036127943,-0.17268124441210553,-0.16607831955866514
当日平均成交额_近10日标准差,0.17230909013756457,0.1863279764902322,-0.17230909013756457,-0.07812063990028537
当日平均换手率_近5日标准差,0.1612636172780303,0.19502425608952384,0.1612636172780303,0.1275790677358206
沪深300_5日涨跌幅_均值_近5日均值,0.1597175573710767,0.17643333565835248,-0.11125402208955959,-0.1597175573710767
当日强涨比例_5pct,0.15673201407114373,0.17885301620134397,-0.15673201407114373,-0.12002042345141463
沪深300_5日涨跌幅_均值_近3日均值,0.15250869524635735,0.16685257808291984,-0.10709440415235798,-0.15250869524635735
中证500_5日涨跌幅_均值_近5日标准差,0.15170312409205874,0.18323132512489815,0.035000811787658265,0.15170312409205874
当日平均涨跌幅_近10日标准差,0.15164249098030536,0.2226534649535648,-0.15164249098030536,-0.08835554666623516
中证1000_5日涨跌幅_均值_近5日标准差,0.15097178543558035,0.1878418535980084,0.06256850259399269,0.15097178543558035
当日大涨比例_3pct_近10日标准差,0.15085485652468536,0.1994152006192601,-0.14072775496476841,-0.1500140261207346
volatility_10_均值,0.15029865429247227,0.21569634362083814,-0.15029865429247227,-0.07319200917926398
中证1000_5日涨跌幅_均值_近3日标准差,0.14927252763046273,0.1710357336798968,0.10300513095987868,0.14927252763046273
当日平均涨跌幅_近5日变化,0.14922938481262232,0.17490734199282765,0.0757536797970344,0.14922938481262232
中证500_5日涨跌幅_均值_近3日均值,0.14878179710579006,0.19481140994554313,-0.12038595847856143,-0.1481807679395928
当日平均换手率,0.14688745464651198,0.17236626068590483,-0.11119468960342328,-0.14688745464651198
股票数量,0.14490943237275247,0.21680689148972596,-0.14490943237275247,-0.031116441947671963
当日大涨比例_3pct,0.1425232806351348,0.1642800078946725,-0.1425232806351348,-0.11550756082631587
中证500_5日涨跌幅_均值_近5日均值,0.14096288208410723,0.179970846147743,-0.10040384371728822,-0.14096288208410723
涨跌扩散差_近5日均值,0.1377341903897724,0.1940586650217113,-0.1377341903897724,-0.10398797203167803
当日涨跌幅极差,0.13701491443205727,0.15682521149811823,0.13701491443205727,0.09031600262625779
当日强涨比例_5pct_近3日标准差,0.13579625592321723,0.16711738424997277,-0.13579625592321723,-0.07610030050294155
极端涨跌差,0.13418927915807632,0.16333405105120458,-0.13418927915807632,-0.10105908156620051
当日平均成交量_近10日标准差,0.13242201542117696,0.1481701170403394,-0.13242201542117696,-0.07145553425273675
当日平均振幅_近5日均值,0.13225947654252068,0.15944884499236744,-0.13148651683804538,-0.1219632696147134
中证500_5日涨跌幅_均值_近3日标准差,0.13082362763624994,0.14947035856373592,0.055264430336419854,0.13082362763624994
当日上涨比例_近10日均值,0.1306340688638858,0.17473901288318217,-0.09437622220213673,-0.13056493415237266
当日接近涨停比例,0.12859377198312533,0.15192294886872873,-0.09586419533828687,-0.12859377198312533
涨跌扩散差_近5日变化,0.127834098912044,0.14742358746216203,0.05063613121609865,0.127834098912044
当日强涨比例_5pct_近5日标准差,0.12450998915445435,0.2055783607805595,-0.12450998915445435,-0.0652339469531763
当日强涨比例_5pct_近10日标准差,0.12271895964477454,0.23323000328731033,-0.12271895964477454,-0.10726794424912751
当日平均涨跌幅_近5日最高,0.12251801813151476,0.16903905245115763,-0.12251801813151476,-0.07568226125195726
当日涨跌幅标准差_近10日均值,0.12198036835621648,0.1266119254425927,-0.12078505169794906,-0.11694447775319286
当日成交额中位数,0.12143895158833917,0.16070054950171528,-0.12054598160446198,-0.11271389475647708
沪深300_5日涨跌幅_均值_近10日标准差,0.11833233614219235,0.16970384634182178,-0.11833233614219235,-0.08958569216594857
下跌行业比例_近5日标准差,0.11743990202476184,0.15822935818579423,0.08856559454391714,0.11743990202476184
当日强涨比例_5pct_近5日变化,0.11730311689032653,0.1414870640081203,0.02506630180909425,0.11730311689032653
上涨行业比例_近5日标准差,0.11708511907312963,0.1580037556324392,0.08826280810331333,0.11708511907312963
上涨行业比例_近10日均值,0.11690071556432682,0.1521150947629351,-0.07524736920195603,-0.11690071556432682
amp_mean_5_均值,0.11654969989344294,0.14317721716720952,-0.11652757572423557,-0.09942838995871156
中证500_5日涨跌幅_均值,0.11630092363514559,0.16702231231416903,-0.11630092363514559,-0.09735137218230912
当日大涨比例_3pct_近5日变化,0.11591424299329603,0.14107094593869826,0.03884267252860087,0.11591424299329603
当日上涨比例_近10日最高,0.11498449778442169,0.16833999335717054,-0.11498449778442169,-0.07069872257544513
当日接近跌停比例,0.11368177906398241,0.13320425859163493,0.11368177906398241,0.04188796375894008
当日平均涨跌幅_近20日最低,0.11312557465402227,0.1826608557195262,0.11312557465402227,0.06783505266089054
行业强跌比例_1pct_近10日标准差,0.1126485643632242,0.15386167982714855,0.10404392128980582,0.10976929134772744
