版本,月份,股票预测数,降噪后股票预测数,原始准确率,修正后准确率,降噪后修正准确率,发生修正数,信号覆盖率,出手准确率
core_v13,8-10月合计,12895,8657,51.91%,50.93%,51.70%,245,100.00%,50.93%
core_v14,8-10月合计,12895,8657,51.74%,50.76%,51.69%,233,100.00%,50.76%
