锚点日期,实际市场状态,市场风险标签,股票预测数,实际上涨数,实际下跌数,实际上涨比例,原始预测上涨比例,预测上涨偏差,原始准确率,修正后准确率,降噪后修正准确率
2025-08-01,强上涨,常规环境,212,157,55,74.06%,100.00%,25.94%,74.06%,74.06%,82.26%
2025-08-04,强上涨,过热回落高,212,160,52,75.47%,96.70%,21.23%,78.77%,78.77%,84.44%
2025-08-05,普涨,过热回落高,212,133,79,62.74%,93.87%,31.13%,67.92%,67.92%,76.27%
2025-08-06,普涨,过热回落高,212,132,80,62.26%,84.91%,22.64%,62.26%,62.26%,62.50%
2025-08-07,震荡,常规环境,212,101,111,47.64%,45.28%,-2.36%,58.02%,58.02%,59.52%
2025-08-08,普涨,常规环境,213,141,72,66.20%,37.09%,-29.11%,48.36%,48.36%,51.54%
2025-08-11,普涨,过热回落高,213,144,69,67.61%,91.55%,23.94%,60.09%,60.09%,71.32%
2025-08-12,强上涨,常规环境,213,158,55,74.18%,42.25%,-31.92%,47.42%,50.23%,48.23%
2025-08-13,强上涨,常规环境,213,158,55,74.18%,69.48%,-4.69%,57.75%,57.75%,57.72%
2025-08-14,强上涨,恐慌释放高,214,176,38,82.24%,91.59%,9.35%,78.50%,78.50%,84.81%
2025-08-15,强上涨,过热回落高,214,160,54,74.77%,42.99%,-31.78%,48.60%,48.60%,47.10%
2025-08-18,强上涨,过热回落高,214,154,60,71.96%,46.26%,-25.70%,50.93%,50.93%,50.75%
2025-08-19,强上涨,常规环境,214,151,63,70.56%,2.80%,-67.76%,32.24%,32.24%,24.11%
2025-08-20,普跌,过热回落高,215,89,126,41.40%,45.58%,4.19%,50.23%,50.23%,47.18%
2025-08-21,震荡,常规环境,215,105,110,48.84%,11.16%,-37.67%,51.16%,49.77%,50.34%
2025-08-22,震荡,常规环境,215,98,117,45.58%,49.77%,4.19%,46.51%,46.51%,49.38%
2025-08-25,震荡,过热回落高,215,98,117,45.58%,80.93%,35.35%,48.84%,48.84%,50.62%
2025-08-26,普跌,常规环境,215,67,148,31.16%,81.40%,50.23%,37.67%,37.67%,36.84%
2025-08-27,普跌,恐慌释放高,215,77,138,35.81%,98.14%,62.33%,36.74%,36.74%,36.81%
2025-08-28,普跌,常规环境,216,65,151,30.09%,81.02%,50.93%,40.74%,40.74%,40.48%
2025-08-29,普跌,常规环境,216,87,129,40.28%,65.28%,25.00%,51.85%,51.85%,51.88%
