锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-04-01,震荡,常规环境,227,147,115,112,121,106,64.76%,129,94,72.87%,147,115,112,64.76%,94,72.87%
2026-04-02,强上涨,恐慌释放高,227,178,217,10,174,53,78.41%,167,138,82.63%,178,217,10,78.41%,138,82.63%
2026-04-03,强上涨,弱势延续高,227,185,226,1,184,43,81.50%,186,163,87.63%,185,226,1,81.50%,163,87.63%
2026-04-07,强上涨,常规环境,227,188,226,1,189,38,82.82%,190,166,87.37%,188,226,1,82.82%,166,87.37%
2026-04-08,震荡,过热回落高,227,131,206,21,124,103,57.71%,125,83,66.40%,131,206,21,57.71%,83,66.40%
2026-04-09,强上涨,常规环境,227,128,112,115,183,44,56.39%,153,90,58.82%,128,112,115,56.39%,90,58.82%
2026-04-10,强上涨,过热回落高,227,164,202,25,165,62,72.25%,162,126,77.78%,164,202,25,72.25%,126,77.78%
2026-04-13,强上涨,常规环境,227,162,169,58,182,45,71.37%,157,119,75.80%,162,169,58,71.37%,119,75.80%
2026-04-14,普涨,过热回落高,227,155,217,10,155,72,68.28%,141,105,74.47%,155,217,10,68.28%,105,74.47%
2026-04-15,强上涨,常规环境,227,167,220,7,166,61,73.57%,160,128,80.00%,167,220,7,73.57%,128,80.00%
2026-04-16,震荡,过热回落高,228,126,150,78,110,118,55.26%,152,88,57.89%,126,150,78,55.26%,88,57.89%
2026-04-17,普跌,常规环境,228,96,220,8,92,136,42.11%,162,67,41.36%,139,3,225,60.96%,102,62.96%
2026-04-20,普跌,常规环境,228,99,216,12,89,139,43.42%,164,72,43.90%,158,79,149,69.30%,116,70.73%
2026-04-21,普跌,常规环境,228,150,63,165,79,149,65.79%,173,124,71.68%,150,65,163,65.79%,123,71.10%
2026-04-22,普跌,常规环境,227,101,192,35,84,143,44.49%,180,81,45.00%,144,1,226,63.44%,120,66.67%
2026-04-23,震荡,恐慌释放高,226,137,122,104,107,119,60.62%,166,108,65.06%,137,122,104,60.62%,108,65.06%
2026-04-24,普涨,常规环境,228,151,161,67,146,82,66.23%,152,103,67.76%,153,175,53,67.11%,105,69.08%
2026-04-27,普涨,常规环境,228,163,198,30,159,69,71.49%,159,124,77.99%,163,198,30,71.49%,124,77.99%
2026-04-28,强上涨,恐慌释放高,227,60,29,198,186,41,26.43%,195,43,22.05%,185,222,5,81.50%,170,87.18%
2026-04-29,强上涨,常规环境,228,180,223,5,179,49,78.95%,178,153,85.96%,180,223,5,78.95%,153,85.96%
2026-04-30,普涨,常规环境,228,162,190,38,158,70,71.05%,172,133,77.33%,162,190,38,71.05%,133,77.33%
