锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-12-01,普跌,过热回落高,217,215,2,0,2,0,0,2,0.92%,0.00%
2025-12-02,震荡,常规环境,218,216,2,0,2,0,0,2,0.92%,0.00%
2025-12-03,普涨,常规环境,218,216,2,2,0,2,0,2,0.92%,100.00%
2025-12-04,震荡,常规环境,218,216,2,1,0,2,1,1,0.92%,50.00%
2025-12-05,普跌,常规环境,218,216,2,1,1,1,0,2,0.92%,50.00%
2025-12-08,普跌,常规环境,218,216,2,2,0,2,0,2,0.92%,100.00%
2025-12-09,普跌,恐慌释放高,218,216,2,0,0,2,2,0,0.92%,0.00%
2025-12-10,普跌,常规环境,218,216,2,0,0,2,2,0,0.92%,0.00%
2025-12-11,普跌,恐慌释放高,218,216,2,0,0,2,2,0,0.92%,0.00%
2025-12-12,普跌,常规环境,218,216,2,2,0,2,0,2,0.92%,100.00%
2025-12-15,普涨,常规环境,218,216,2,2,0,2,0,2,0.92%,100.00%
2025-12-16,强上涨,弱势延续高,218,216,2,2,0,2,0,2,0.92%,100.00%
2025-12-17,强上涨,常规环境,218,216,2,2,2,0,2,0,0.92%,100.00%
2025-12-18,强上涨,常规环境,219,217,2,1,0,2,1,1,0.91%,50.00%
2025-12-19,普涨,常规环境,219,217,2,2,1,1,1,1,0.91%,100.00%
2025-12-22,普涨,常规环境,219,217,2,1,0,2,1,1,0.91%,50.00%
2025-12-23,普涨,常规环境,219,217,2,1,0,2,1,1,0.91%,50.00%
2025-12-24,震荡,过热回落高,219,217,2,1,0,2,1,1,0.91%,50.00%
2025-12-25,普涨,过热回落高,220,218,2,0,0,2,2,0,0.91%,0.00%
2025-12-26,强上涨,常规环境,220,218,2,0,0,2,2,0,0.91%,0.00%
2025-12-29,强上涨,常规环境,220,218,2,2,0,2,0,2,0.91%,100.00%
2025-12-30,强上涨,常规环境,220,218,2,0,0,2,2,0,0.91%,0.00%
2025-12-31,强上涨,常规环境,220,218,2,1,0,2,1,1,0.91%,50.00%
