日期,代码,名称,行业,板块,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,振幅,换手率,卖出日,5日后的实际涨跌幅,数据质量问题,是否硬异常,是否软异常
2025-04-18,001228,永泰运,物流,深市主板,22.969652,21.76741064,23.1651384,21.76741064,8618659.0,195190152.41,-9.9838,5.78,15.709,2025-04-25,-0.0722945666816345,接近跌停极端行情,0,1
2025-04-18,001395,亚联机械,专用设备,深市主板,52.09939884,56.1275502,56.1275502,52.09939884,12744076.0,709164005.36,10.0039,7.89,66.0643,2025-04-25,-0.148636763412489,接近涨停极端行情,0,1
2025-04-21,601069,西部黄金,贵金属,沪市主板,17.94256037,19.11944871,19.11944871,17.74308777,61758343.0,1145454998.31,9.9828,7.92,9.0291,2025-04-28,-0.1246739697443922,接近涨停极端行情,0,1
2025-04-21,605488,福莱新材,塑料,沪市主板,27.06990426,29.34180438,29.34180438,26.84128538,10544545.0,416798061.09,9.9893,9.37,5.325,2025-04-28,0.0766983199415631,接近涨停极端行情,0,1
2025-04-22,001395,亚联机械,专用设备,深市主板,54.8440706,57.88492996,57.88492996,51.6353716,10961574.0,618784692.99,10.0,11.88,56.824,2025-04-29,-0.1929046563192904,接近涨停极端行情,0,1
2025-04-22,002552,宝鼎科技,元件,深市主板,13.4923918,14.8357046,14.8357046,13.4430053,13625405.0,195231557.44,10.0366,10.33,4.2548,2025-04-29,-0.1245006657789614,接近涨停极端行情,0,1
2025-04-22,603173,福斯达,专用设备,沪市主板,27.5419947,27.5419947,27.5419947,26.86182375,4863027.0,135191874.62,10.0,2.72,9.8164,2025-04-29,0.0887616320687185,接近涨停极端行情,0,1
2025-04-22,603813,*ST原尚,物流,沪市主板,12.06,11.36,12.32,11.2,4935326.0,56939945.89,-8.6817,9.0,5.4872,2025-04-30,0.0184859154929577,接近跌停极端行情,0,1
2025-04-23,001395,亚联机械,专用设备,深市主板,57.64797988,52.09939884,57.756582,52.09939884,12436779.0,674395980.15,-9.9949,9.77,64.4713,2025-04-30,-0.1262080727686184,接近跌停极端行情,0,1
2025-04-23,002977,*ST天箭,军工电子Ⅱ,深市主板,27.34539608,27.37526,28.28113224,27.01689296,6543172.0,182914711.32,6.383,4.91,9.8216,2025-04-30,0.0756363636363635,接近涨停极端行情,0,1
