版本,月份,锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
core_v13,8月,2025-08-19,强上涨,常规环境,214,69,6,208,151,63,32.24%,141,34,24.11%,69,6,208,32.24%,34,24.11%
core_v13,8月,2025-08-20,普跌,过热回落高,215,108,98,117,89,126,50.23%,142,67,47.18%,108,98,117,50.23%,67,47.18%
core_v13,8月,2025-08-21,震荡,常规环境,215,110,24,191,105,110,51.16%,149,79,53.02%,107,35,180,49.77%,75,50.34%
core_v13,8月,2025-08-22,震荡,常规环境,215,100,107,108,98,117,46.51%,162,80,49.38%,100,107,108,46.51%,80,49.38%
core_v13,8月,2025-08-25,震荡,过热回落高,215,105,174,41,98,117,48.84%,162,82,50.62%,105,174,41,48.84%,82,50.62%
core_v13,8月,2025-08-26,普跌,常规环境,215,81,175,40,67,148,37.67%,171,63,36.84%,81,175,40,37.67%,63,36.84%
core_v13,8月,2025-08-27,普跌,恐慌释放高,215,79,211,4,77,138,36.74%,163,60,36.81%,79,211,4,36.74%,60,36.81%
core_v13,8月,2025-08-28,普跌,常规环境,216,88,175,41,65,151,40.74%,168,68,40.48%,88,175,41,40.74%,68,40.48%
core_v13,8月,2025-08-29,普跌,常规环境,216,112,141,75,87,129,51.85%,160,83,51.88%,112,141,75,51.85%,83,51.88%
core_v13,9月,2025-09-01,震荡,常规环境,216,116,188,28,102,114,53.70%,143,73,51.05%,116,188,28,53.70%,73,51.05%
core_v13,9月,2025-09-02,震荡,恐慌释放高,216,107,206,10,103,113,49.54%,142,72,50.70%,107,206,10,49.54%,72,50.70%
core_v13,9月,2025-09-03,普涨,常规环境,216,142,171,45,133,83,65.74%,136,88,64.71%,144,179,37,66.67%,89,65.44%
core_v13,9月,2025-09-04,强上涨,弱势延续高,216,180,214,2,178,38,83.33%,163,141,86.50%,180,214,2,83.33%,141,86.50%
core_v13,9月,2025-09-05,普涨,常规环境,216,130,216,0,130,86,60.19%,128,75,58.59%,130,216,0,60.19%,75,58.59%
core_v13,9月,2025-09-08,普跌,常规环境,216,77,206,10,79,137,35.65%,139,52,37.41%,77,206,10,35.65%,52,37.41%
core_v13,9月,2025-09-09,普涨,常规环境,216,120,184,32,120,96,55.56%,136,79,58.09%,120,184,32,55.56%,79,58.09%
core_v13,9月,2025-09-10,普涨,常规环境,216,100,45,171,135,81,46.30%,133,55,41.35%,100,45,171,46.30%,55,41.35%
core_v13,9月,2025-09-11,普跌,过热回落高,216,73,180,36,71,145,33.80%,139,53,38.13%,73,180,36,33.80%,53,38.13%
core_v13,9月,2025-09-12,普跌,常规环境,216,80,193,23,81,135,37.04%,158,61,38.61%,80,193,23,37.04%,61,38.61%
core_v13,9月,2025-09-15,普跌,常规环境,216,85,214,2,83,133,39.35%,146,59,40.41%,85,214,2,39.35%,59,40.41%
